crashId,dateTimeId
20241140,20241140_8_2024_8:00
20244063,20244063_8_2024_9:15
20241131,20241131_8_2024_9:30
20242172,20242172_8_2024_15:05
20241111,20241111_8_2024_15:45
20242055,20242055_8_2024_17:01
20241017,20241017_8_2024_17:40
20244067,20244067_8_2024_19:48
20246024,20246024_8_2024_0:55
20241254,20241254_8_2024_3:30
20243011,20243011_8_2024_11:00
20246011,20246011_8_2024_13:00
20242177,20242177_8_2024_14:54
20241127,20241127_8_2024_16:20
20241210,20241210_8_2024_17:15
20242132,20242132_8_2024_18:16
20242184,20242184_8_2024_19:14
20241253,20241253_8_2024_21:00
20243024,20243024_8_2024_21:00
20242224,20242224_8_2024_23:25
20243031,20243031_8_2024_0:00
20242069,20242069_8_2024_0:40
20243156,20243156_8_2024_4:00
20242251,20242251_8_2024_6:48
20244034,20244034_8_2024_8:13
20242090,20242090_8_2024_10:50
20243231,20243231_8_2024_13:00
20242194,20242194_8_2024_15:25
20243142,20243142_8_2024_12:00
20242043,20242043_8_2024_12:28
20243124,20243124_8_2024_14:00
20244007,20244007_8_2024_15:31
20242060,20242060_8_2024_15:55
20243104,20243104_8_2024_16:00
20244041,20244041_8_2024_18:25
20246026,20246026_8_2024_21:52
20243021,20243021_8_2024_2:00
20242155,20242155_8_2024_6:40
20242032,20242032_8_2024_10:23
20241285,20241285_8_2024_16:45
20244066,20244066_8_2024_19:00
20242064,20242064_8_2024_19:54
20242164,20242164_8_2024_20:40
20244035,20244035_8_2024_20:55
20243018,20243018_8_2024_9:00
20242086,20242086_8_2024_9:35
20243217,20243217_8_2024_11:00
20243251,20243251_8_2024_18:00
20243058,20243058_8_2024_19:00
20244046,20244046_8_2024_22:41
20243085,20243085_7_2024_8:00
20244039,20244039_7_2024_11:46
20243240,20243240_7_2024_12:00
20246002,20246002_7_2024_12:38
20242099,20242099_7_2024_13:30
20243063,20243063_7_2024_16:00
20241176,20241176_7_2024_16:00
20247022,20247022_7_2024_16:30
20241086,20241086_7_2024_16:40
20241224,20241224_7_2024_22:45
20241265,20241265_7_2024_8:05
20241202,20241202_7_2024_8:15
20246023,20246023_7_2024_11:28
20241293,20241293_7_2024_12:08
20241299,20241299_7_2024_13:20
20244078,20244078_7_2024_13:24
20243164,20243164_7_2024_14:00
20242201,20242201_7_2024_14:30
20241307,20241307_7_2024_19:20
20242074,20242074_7_2024_20:37
20241243,20241243_7_2024_22:00
20247034,20247034_7_2024_23:28
20241260,20241260_7_2024_0:30
20243004,20243004_7_2024_2:00
20246014,20246014_7_2024_8:30
20242024,20242024_7_2024_9:07
20243169,20243169_7_2024_14:00
20243081,20243081_7_2024_14:00
20242169,20242169_7_2024_14:43
20241110,20241110_7_2024_15:00
20241082,20241082_7_2024_19:25
20241159,20241159_7_2024_0:01
20246022,20246022_7_2024_4:07
20241229,20241229_7_2024_6:30
20242026,20242026_7_2024_9:26
20242268,20242268_7_2024_10:24
20242238,20242238_7_2024_10:41
20242122,20242122_7_2024_11:10
20241046,20241046_7_2024_13:00
20243192,20243192_7_2024_14:00
20241032,20241032_7_2024_14:30
20241031,20241031_7_2024_14:45
20243254,20243254_7_2024_17:00
20243133,20243133_7_2024_17:00
20241203,20241203_7_2024_18:20
20243118,20243118_7_2024_3:00
20243173,20243173_7_2024_4:00
20243199,20243199_7_2024_6:00
20244003,20244003_7_2024_9:55
20241298,20241298_7_2024_10:00
20242112,20242112_7_2024_11:53
20243092,20243092_7_2024_12:00
20243042,20243042_7_2024_13:00
20244005,20244005_7_2024_16:13
20243178,20243178_7_2024_17:00
20244050,20244050_7_2024_17:45
20241208,20241208_7_2024_20:30
20242259,20242259_7_2024_6:20
20242212,20242212_7_2024_7:00
20243019,20243019_7_2024_9:00
20241036,20241036_7_2024_11:45
20242226,20242226_7_2024_14:10
20247007,20247007_7_2024_14:13
20243074,20243074_7_2024_15:00
20241003,20241003_7_2024_15:30
20241277,20241277_7_2024_16:35
20241249,20241249_7_2024_17:50
20242020,20242020_7_2024_17:57
20242108,20242108_7_2024_18:59
20243120,20243120_7_2024_19:00
20242187,20242187_7_2024_19:30
20243116,20243116_7_2024_22:00
20242133,20242133_7_2024_0:00
20241092,20241092_7_2024_1:35
20242121,20242121_7_2024_6:05
20243214,20243214_7_2024_9:00
20241118,20241118_7_2024_9:30
20243157,20243157_7_2024_10:00
