personId,roadUser,gender,age,ageGroup,crashId
3316,Driver,Female,69,65_to_74,20215028
3317,Passenger,Female,75,75_or_older,20216031
3318,Passenger,Male,45,40_to_64,20216031
3319,Passenger,Female,29,26_to_39,20217010
3320,Driver,Male,82,75_or_older,20211237
3321,Driver,Male,35,26_to_39,20211197
3322,Pedestrian,Male,71,65_to_74,20215002
3323,Driver,Male,49,40_to_64,20211160
3324,Driver,Male,27,26_to_39,20215022
3325,Driver,Male,77,75_or_older,20213113
3326,Passenger,Female,79,75_or_older,20213133
3327,Driver,Male,40,40_to_64,20213232
3328,Motorcycle rider,Male,40,40_to_64,20215030
3329,Driver,Male,24,17_to_25,20212175
3330,Driver,Male,29,26_to_39,20213096
3331,Passenger,Male,40,40_to_64,20213096
3332,Driver,Male,76,75_or_older,20211029
3333,Passenger,Male,70,65_to_74,20211029
3334,Passenger,Female,83,75_or_older,20213085
3335,Pedal cyclist,Male,70,65_to_74,20213040
3336,Driver,Male,69,65_to_74,20213126
3337,Pedestrian,Male,17,17_to_25,20213222
3338,Driver,Male,20,17_to_25,20211244
3339,Driver,Male,20,17_to_25,20215038
3340,Driver,Male,27,26_to_39,20213217
3341,Driver,Male,70,65_to_74,20213066
3342,Motorcycle rider,Male,18,17_to_25,20211172
3343,Driver,Male,34,26_to_39,20211125
3344,Pedestrian,Male,15,0_to_16,20217006
3345,Motorcycle rider,Male,45,40_to_64,20216020
3346,Driver,Male,43,40_to_64,20215049
3347,Driver,Male,31,26_to_39,20213058
3348,Driver,Male,36,26_to_39,20212058
3349,Passenger,Female,46,40_to_64,20212058
3350,Driver,Male,56,40_to_64,20216025
3351,Pedestrian,Male,21,17_to_25,20215145
3352,Passenger,Male,18,17_to_25,20213218
3353,Driver,Male,18,17_to_25,20214017
3354,Motorcycle rider,Male,26,26_to_39,20212023
3355,Driver,Male,85,75_or_older,20212014
3356,Driver,Female,60,40_to_64,20213028
3357,Motorcycle rider,Female,40,40_to_64,20213023
3358,Pedestrian,Male,16,0_to_16,20212171
3359,Driver,Male,86,75_or_older,20211118
3360,Passenger,Male,85,75_or_older,20213248
3361,Passenger,Female,85,75_or_older,20214070
3362,Driver,Male,90,75_or_older,20214070
3363,Passenger,Female,19,17_to_25,20212076
3364,Passenger,Male,16,0_to_16,20212076
3365,Motorcycle rider,Male,59,40_to_64,20213024
3366,Motorcycle rider,Male,50,40_to_64,20217023
3367,Driver,Male,46,40_to_64,20213142
3368,Pedestrian,Male,77,75_or_older,20213139
3369,Driver,Male,50,40_to_64,20212071
3370,Driver,Male,48,40_to_64,20211220
3371,Driver,Male,18,17_to_25,20211236
3372,Pedestrian,Female,79,75_or_older,20216033
3373,Driver,Male,68,65_to_74,20214028
3374,Driver,Male,20,17_to_25,20212118
3375,Driver,Male,64,40_to_64,20211057
3376,Motorcycle rider,Male,25,17_to_25,20213196
3377,Pedestrian,Female,63,40_to_64,20212074
3378,Driver,Male,58,40_to_64,20211126
3379,Driver,Female,86,75_or_older,20211045
3380,Driver,Female,37,26_to_39,20215110
3381,Pedestrian,Male,80,75_or_older,20212210
3382,Passenger,Female,82,75_or_older,20215015
3383,Driver,Male,57,40_to_64,20216029
3384,Driver,Female,79,75_or_older,20211113
3385,Passenger,Female,77,75_or_older,20213192
3386,Driver,Male,60,40_to_64,20213118
3387,Passenger,Female,54,40_to_64,20213019
3388,Driver,Male,45,40_to_64,20212124
3389,Driver,Female,24,17_to_25,20213012
3390,Driver,Male,77,75_or_older,20212187
3391,Driver,Male,58,40_to_64,20212044
3392,Driver,Male,30,26_to_39,20212109
3393,Motorcycle rider,Male,31,26_to_39,20215007
3394,Passenger,Male,58,40_to_64,20213016
3395,Driver,Male,59,40_to_64,20213016
3396,Driver,Male,45,40_to_64,20213016
3397,Passenger,Male,33,26_to_39,20211249
3398,Driver,Male,22,17_to_25,20212005
3399,Pedestrian,Male,15,0_to_16,20211088
3400,Driver,Male,58,40_to_64,20215123
3401,Driver,Male,18,17_to_25,20213010
3402,Passenger,Male,17,17_to_25,20213010
3403,Driver,Male,19,17_to_25,20214066
3404,Passenger,Female,20,17_to_25,20213120
3405,Pedestrian,Female,63,40_to_64,20212088
3406,Motorcycle rider,Male,29,26_to_39,20215091
