locationId,state,nationalRemoteAreas,sa4Name,lgaName,nationalRoadType,crashId
20194033_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Adelaide Plains_National or State Highway,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Adelaide Plains,National or State Highway,20194033
20192055_VIC_Major Cities of Australia_Melbourne - Outer East_Yarra Ranges_Local Road,VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Local Road,20192055
20193184_QLD_Remote Australia_Mackay - Isaac - Whitsunday_Isaac_National or State Highway,QLD,Remote Australia,Mackay - Isaac - Whitsunday,Isaac,National or State Highway,20193184
20191033_NSW_Inner Regional Australia_Richmond - Tweed_Lismore_Arterial Road,NSW,Inner Regional Australia,Richmond - Tweed,Lismore,Arterial Road,20191033
20195008_WA_Outer Regional Australia_Western Australia - Wheat Belt_Victoria Plains_Arterial Road,WA,Outer Regional Australia,Western Australia - Wheat Belt,Victoria Plains,Arterial Road,20195008
20191094_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Singleton_National or State Highway,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,National or State Highway,20191094
20192192_VIC_Outer Regional Australia_Warrnambool and South West_Southern Grampians_National or State Highway,VIC,Outer Regional Australia,Warrnambool and South West,Southern Grampians,National or State Highway,20192192
20192110_VIC_Inner Regional Australia_Ballarat_Moorabool_Arterial Road,VIC,Inner Regional Australia,Ballarat,Moorabool,Arterial Road,20192110
20196012_TAS_Remote Australia_Launceston and North East_Break O'Day_National or State Highway,TAS,Remote Australia,Launceston and North East,Break O'Day,National or State Highway,20196012
20192153_VIC_Major Cities of Australia_Melbourne - North West_Merri-bek_Arterial Road,VIC,Major Cities of Australia,Melbourne - North West,Merri-bek,Arterial Road,20192153
20193175_QLD_Major Cities of Australia_Brisbane - South_Brisbane_National or State Highway,QLD,Major Cities of Australia,Brisbane - South,Brisbane,National or State Highway,20193175
20192167_VIC_Outer Regional Australia_North West_Gannawarra_National or State Highway,VIC,Outer Regional Australia,North West,Gannawarra,National or State Highway,20192167
20193068_QLD_Inner Regional Australia_Ipswich_Ipswich_Local Road,QLD,Inner Regional Australia,Ipswich,Ipswich,Local Road,20193068
20197002_NT_Remote Australia_Northern Territory - Outback_Victoria Daly_National or State Highway,NT,Remote Australia,Northern Territory - Outback,Victoria Daly,National or State Highway,20197002
20192061_VIC_Outer Regional Australia_North West_Northern Grampians_National or State Highway,VIC,Outer Regional Australia,North West,Northern Grampians,National or State Highway,20192061
20193050_QLD_Remote Australia_Cairns_Cassowary Coast_Local Road,QLD,Remote Australia,Cairns,Cassowary Coast,Local Road,20193050
20193133_QLD_Inner Regional Australia_Central Queensland_Rockhampton_Local Road,QLD,Inner Regional Australia,Central Queensland,Rockhampton,Local Road,20193133
20191010_NSW_Outer Regional Australia_Hunter Valley exc Newcastle_Singleton_Arterial Road,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Singleton,Arterial Road,20191010
20193149_QLD_Outer Regional Australia_Cairns_Tablelands_Sub-arterial Road,QLD,Outer Regional Australia,Cairns,Tablelands,Sub-arterial Road,20193149
20194028_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Light_National or State Highway,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Light,National or State Highway,20194028
20191018_NSW_Very Remote Australia_Far West and Orana_Brewarrina_Sub-arterial Road,NSW,Very Remote Australia,Far West and Orana,Brewarrina,Sub-arterial Road,20191018
20196028_TAS_Outer Regional Australia_Launceston and North East_Launceston_National or State Highway,TAS,Outer Regional Australia,Launceston and North East,Launceston,National or State Highway,20196028
20191180_NSW_Inner Regional Australia_Sydney - North Sydney and Hornsby_Hornsby_National or State Highway,NSW,Inner Regional Australia,Sydney - North Sydney and Hornsby,Hornsby,National or State Highway,20191180
20191166_NSW_Outer Regional Australia_Central West_Weddin_National or State Highway,NSW,Outer Regional Australia,Central West,Weddin,National or State Highway,20191166
20192242_VIC_Inner Regional Australia_Melbourne - North West_Macedon Ranges_Sub-arterial Road,VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Sub-arterial Road,20192242
20191286_NSW_Outer Regional Australia_Far West and Orana_Gilgandra_National or State Highway,NSW,Outer Regional Australia,Far West and Orana,Gilgandra,National or State Highway,20191286
20191275_NSW_Outer Regional Australia_Coffs Harbour - Grafton_Clarence Valley_Local Road,NSW,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Local Road,20191275
20193011_QLD_Inner Regional Australia_Darling Downs - Maranoa_Southern Downs_Local Road,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road,20193011
20191231_NSW_Major Cities of Australia_Sydney - Parramatta_Parramatta_Arterial Road,NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,Arterial Road,20191231
20194040_SA_Major Cities of Australia_Adelaide - South_Marion_National or State Highway,SA,Major Cities of Australia,Adelaide - South,Marion,National or State Highway,20194040
20195083_WA_Major Cities of Australia_Mandurah_Mandurah_Arterial Road,WA,Major Cities of Australia,Mandurah,Mandurah,Arterial Road,20195083
20191238_NSW_Outer Regional Australia_Far West and Orana_Dubbo_Arterial Road,NSW,Outer Regional Australia,Far West and Orana,Dubbo,Arterial Road,20191238
20195076_WA_Major Cities of Australia_Perth - North West_Stirling_Arterial Road,WA,Major Cities of Australia,Perth - North West,Stirling,Arterial Road,20195076
20191211_NSW_Major Cities of Australia_Sydney - City and Inner South_Sydney_Local Road,NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Local Road,20191211
20192187_VIC_Major Cities of Australia_Melbourne - South East_Kingston (Vic.)_Local Road,VIC,Major Cities of Australia,Melbourne - South East,Kingston (Vic.),Local Road,20192187
20191122_NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Newcastle_Local Road,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Local Road,20191122
20193165_QLD_Inner Regional Australia_Central Queensland_Livingstone_Local Road,QLD,Inner Regional Australia,Central Queensland,Livingstone,Local Road,20193165
20192114_VIC_Inner Regional Australia_Geelong_Golden Plains_Local Road,VIC,Inner Regional Australia,Geelong,Golden Plains,Local Road,20192114
20192066_VIC_Inner Regional Australia_Ballarat_Central Goldfields_Local Road,VIC,Inner Regional Australia,Ballarat,Central Goldfields,Local Road,20192066
20191152_NSW_Inner Regional Australia_Richmond - Tweed_Tweed_Arterial Road,NSW,Inner Regional Australia,Richmond - Tweed,Tweed,Arterial Road,20191152
20194090_SA_Inner Regional Australia_Adelaide - Central and Hills_Mount Barker_Sub-arterial Road,SA,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker,Sub-arterial Road,20194090
20192119_VIC_Inner Regional Australia_Geelong_Golden Plains_National or State Highway,VIC,Inner Regional Australia,Geelong,Golden Plains,National or State Highway,20192119
20195082_WA_Outer Regional Australia_Western Australia - Outback (South)_Greater Geraldton_National or State Highway,WA,Outer Regional Australia,Western Australia - Outback (South),Greater Geraldton,National or State Highway,20195082
20192183_VIC_Inner Regional Australia_Ballarat_Hepburn_Arterial Road,VIC,Inner Regional Australia,Ballarat,Hepburn,Arterial Road,20192183
20193005_QLD_Very Remote Australia_Queensland - Outback_Mount Isa_National or State Highway,QLD,Very Remote Australia,Queensland - Outback,Mount Isa,National or State Highway,20193005
20191161_NSW_Inner Regional Australia_Central West_Bathurst_National or State Highway,NSW,Inner Regional Australia,Central West,Bathurst,National or State Highway,20191161
20195115_WA_Inner Regional Australia_Mandurah_Murray_Local Road,WA,Inner Regional Australia,Mandurah,Murray,Local Road,20195115
20195143_WA_Inner Regional Australia_Perth - South East_Serpentine-Jarrahdale_Local Road,WA,Inner Regional Australia,Perth - South East,Serpentine-Jarrahdale,Local Road,20195143
20192117_VIC_Major Cities of Australia_Melbourne - North West_Hume_Local Road,VIC,Major Cities of Australia,Melbourne - North West,Hume,Local Road,20192117
20196004_TAS_Outer Regional Australia_South East_Glamorgan-Spring Bay_National or State Highway,TAS,Outer Regional Australia,South East,Glamorgan-Spring Bay,National or State Highway,20196004
20191306_NSW_Remote Australia_Central West_Lachlan_Sub-arterial Road,NSW,Remote Australia,Central West,Lachlan,Sub-arterial Road,20191306
20192005_VIC_Major Cities of Australia_Melbourne - Inner South_Kingston (Vic.)_National or State Highway,VIC,Major Cities of Australia,Melbourne - Inner South,Kingston (Vic.),National or State Highway,20192005
20191267_NSW_Inner Regional Australia_Murray_Greater Hume_National or State Highway,NSW,Inner Regional Australia,Murray,Greater Hume,National or State Highway,20191267
20192212_VIC_Major Cities of Australia_Melbourne - Outer East_Maroondah_Collector Road,VIC,Major Cities of Australia,Melbourne - Outer East,Maroondah,Collector Road,20192212
20194001_SA_Major Cities of Australia_Adelaide - North_Port Adelaide Enfield_Arterial Road,SA,Major Cities of Australia,Adelaide - North,Port Adelaide Enfield,Arterial Road,20194001
20195096_WA_Major Cities of Australia_Perth - South East_Armadale_Arterial Road,WA,Major Cities of Australia,Perth - South East,Armadale,Arterial Road,20195096
20193082_QLD_Major Cities of Australia_Sunshine Coast_Noosa_Sub-arterial Road,QLD,Major Cities of Australia,Sunshine Coast,Noosa,Sub-arterial Road,20193082
20191196_NSW_Outer Regional Australia_Murray_Murrumbidgee_Arterial Road,NSW,Outer Regional Australia,Murray,Murrumbidgee,Arterial Road,20191196
20193035_QLD_Major Cities of Australia_Brisbane Inner City_Brisbane_Sub-arterial Road,QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Sub-arterial Road,20193035
20191224_NSW_Major Cities of Australia_Sydney - City and Inner South_Sydney_Local Road,NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Local Road,20191224
20191249_NSW_Major Cities of Australia_Sydney - Outer South West_Campbelltown (NSW)_Local Road,NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),Local Road,20191249
20194041_SA_Inner Regional Australia_South Australia - South East_Mid Murray_National or State Highway,SA,Inner Regional Australia,South Australia - South East,Mid Murray,National or State Highway,20194041
20195024_WA_Outer Regional Australia_Western Australia - Wheat Belt_Albany_Arterial Road,WA,Outer Regional Australia,Western Australia - Wheat Belt,Albany,Arterial Road,20195024
20192041_VIC_Outer Regional Australia_Shepparton_Moira_Local Road,VIC,Outer Regional Australia,Shepparton,Moira,Local Road,20192041
20191270_NSW_Major Cities of Australia_Sydney - Outer South West_Campbelltown (NSW)_National or State Highway,NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),National or State Highway,20191270
20191032_NSW_Inner Regional Australia_Murray_Greater Hume_National or State Highway,NSW,Inner Regional Australia,Murray,Greater Hume,National or State Highway,20191032
20193108_QLD_Outer Regional Australia_Cairns_Tablelands_National or State Highway,QLD,Outer Regional Australia,Cairns,Tablelands,National or State Highway,20193108
20191014_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Clarence Valley_Arterial Road,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,20191014
20191022_NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_Arterial Road,NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,Arterial Road,20191022
20194056_SA_Outer Regional Australia_South Australia - South East_Naracoorte Lucindale_Sub-arterial Road,SA,Outer Regional Australia,South Australia - South East,Naracoorte Lucindale,Sub-arterial Road,20194056
20193110_QLD_Very Remote Australia_Queensland - Outback_Cloncurry_National or State Highway,QLD,Very Remote Australia,Queensland - Outback,Cloncurry,National or State Highway,20193110
20193079_QLD_Outer Regional Australia_Townsville_Townsville_Local Road,QLD,Outer Regional Australia,Townsville,Townsville,Local Road,20193079
20191266_NSW_Inner Regional Australia_New England and North West_Tamworth_Sub-arterial Road,NSW,Inner Regional Australia,New England and North West,Tamworth,Sub-arterial Road,20191266
20191242_NSW_Inner Regional Australia_Riverina_Wagga Wagga_Arterial Road,NSW,Inner Regional Australia,Riverina,Wagga Wagga,Arterial Road,20191242
20192120_VIC_Outer Regional Australia_North West_West Wimmera_Arterial Road,VIC,Outer Regional Australia,North West,West Wimmera,Arterial Road,20192120
20194002_SA_Outer Regional Australia_South Australia - South East_Berri Barmera_National or State Highway,SA,Outer Regional Australia,South Australia - South East,Berri Barmera,National or State Highway,20194002
20191201_NSW_Major Cities of Australia_Sydney - Inner South West_Georges River_Arterial Road,NSW,Major Cities of Australia,Sydney - Inner South West,Georges River,Arterial Road,20191201
20194073_SA_Major Cities of Australia_Adelaide - South_Onkaparinga_National or State Highway,SA,Major Cities of Australia,Adelaide - South,Onkaparinga,National or State Highway,20194073
20195047_WA_Inner Regional Australia_Perth - North West_Wanneroo_Arterial Road,WA,Inner Regional Australia,Perth - North West,Wanneroo,Arterial Road,20195047
20193182_QLD_Inner Regional Australia_Darling Downs - Maranoa_Toowoomba_National or State Highway,QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,National or State Highway,20193182
20191294_NSW_Inner Regional Australia_Capital Region_Goulburn Mulwaree_National or State Highway,NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,National or State Highway,20191294
20194045_SA_Very Remote Australia_South Australia - Outback_Streaky Bay_National or State Highway,SA,Very Remote Australia,South Australia - Outback,Streaky Bay,National or State Highway,20194045
20191068_NSW_Remote Australia_New England and North West_Moree Plains_National or State Highway,NSW,Remote Australia,New England and North West,Moree Plains,National or State Highway,20191068
20194062_SA_Major Cities of Australia_Adelaide - Central and Hills_Norwood Payneham and St Peters_Arterial Road,SA,Major Cities of Australia,Adelaide - Central and Hills,Norwood Payneham and St Peters,Arterial Road,20194062
20191245_NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Newcastle_Local Road,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Local Road,20191245
20196024_TAS_Inner Regional Australia_Hobart_Glenorchy_Local Road,TAS,Inner Regional Australia,Hobart,Glenorchy,Local Road,20196024
20194004_SA_Very Remote Australia_South Australia - Outback_Streaky Bay_National or State Highway,SA,Very Remote Australia,South Australia - Outback,Streaky Bay,National or State Highway,20194004
20191108_NSW_Outer Regional Australia_Mid North Coast_Port Macquarie-Hastings_National or State Highway,NSW,Outer Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,20191108
20191225_NSW_Major Cities of Australia_Sydney - Eastern Suburbs_Randwick_Collector Road,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Collector Road,20191225
20191104_NSW_Inner Regional Australia_Richmond - Tweed_Richmond Valley_National or State Highway,NSW,Inner Regional Australia,Richmond - Tweed,Richmond Valley,National or State Highway,20191104
20195133_WA_Major Cities of Australia_Perth - North West_Joondalup_National or State Highway,WA,Major Cities of Australia,Perth - North West,Joondalup,National or State Highway,20195133
20196025_TAS_Outer Regional Australia_West and North West_Latrobe (Tas.)_Arterial Road,TAS,Outer Regional Australia,West and North West,Latrobe (Tas.),Arterial Road,20196025
20191135_NSW_Outer Regional Australia_Riverina_Narrandera_National or State Highway,NSW,Outer Regional Australia,Riverina,Narrandera,National or State Highway,20191135
20195012_WA_Major Cities of Australia_Perth - North West_Wanneroo_Arterial Road,WA,Major Cities of Australia,Perth - North West,Wanneroo,Arterial Road,20195012
20195152_WA_Inner Regional Australia_Bunbury_Busselton_Local Road,WA,Inner Regional Australia,Bunbury,Busselton,Local Road,20195152
20191067_NSW_Major Cities of Australia_Sydney - Ryde_Hunters Hill_Arterial Road,NSW,Major Cities of Australia,Sydney - Ryde,Hunters Hill,Arterial Road,20191067
20192134_VIC_Inner Regional Australia_Bendigo_Greater Bendigo_Local Road,VIC,Inner Regional Australia,Bendigo,Greater Bendigo,Local Road,20192134
20193193_QLD_Inner Regional Australia_Moreton Bay - North_Somerset_National or State Highway,QLD,Inner Regional Australia,Moreton Bay - North,Somerset,National or State Highway,20193193
20193140_QLD_Outer Regional Australia_Central Queensland_Gladstone_Collector Road,QLD,Outer Regional Australia,Central Queensland,Gladstone,Collector Road,20193140
20192051_VIC_Outer Regional Australia_North West_Mildura_Local Road,VIC,Outer Regional Australia,North West,Mildura,Local Road,20192051
20197011_NT_Outer Regional Australia_Darwin_Darwin_Arterial Road,NT,Outer Regional Australia,Darwin,Darwin,Arterial Road,20197011
20192093_VIC_Major Cities of Australia_Melbourne - Inner_Stonnington_Local Road,VIC,Major Cities of Australia,Melbourne - Inner,Stonnington,Local Road,20192093
20191145_NSW_Major Cities of Australia_Sydney - Eastern Suburbs_Sydney_Arterial Road,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Sydney,Arterial Road,20191145
20192146_VIC_Major Cities of Australia_Mornington Peninsula_Mornington Peninsula_Arterial Road,VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,Arterial Road,20192146
20194099_SA_Inner Regional Australia_Adelaide - Central and Hills_Adelaide Hills_Collector Road,SA,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,Collector Road,20194099
20191155_NSW_Major Cities of Australia_Sydney - South West_Liverpool_Local Road,NSW,Major Cities of Australia,Sydney - South West,Liverpool,Local Road,20191155
20192196_VIC_Major Cities of Australia_Melbourne - West_Melton_Local Road,VIC,Major Cities of Australia,Melbourne - West,Melton,Local Road,20192196
20195151_WA_Outer Regional Australia_Bunbury_Manjimup_Local Road,WA,Outer Regional Australia,Bunbury,Manjimup,Local Road,20195151
20192046_VIC_Inner Regional Australia_Latrobe - Gippsland_Latrobe (Vic.)_National or State Highway,VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),National or State Highway,20192046
20192159_VIC_Major Cities of Australia_Melbourne - North East_Darebin_Local Road,VIC,Major Cities of Australia,Melbourne - North East,Darebin,Local Road,20192159
20192221_VIC_Inner Regional Australia_Warrnambool and South West_Corangamite_Arterial Road,VIC,Inner Regional Australia,Warrnambool and South West,Corangamite,Arterial Road,20192221
20193041_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Sub-arterial Road,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Sub-arterial Road,20193041
20191123_NSW_Major Cities of Australia_Capital Region_Queanbeyan-Palerang_National or State Highway,NSW,Major Cities of Australia,Capital Region,Queanbeyan-Palerang,National or State Highway,20191123
20195065_WA_Inner Regional Australia_Mandurah_Murray_Local Road,WA,Inner Regional Australia,Mandurah,Murray,Local Road,20195065
20192017_VIC_Major Cities of Australia_Melbourne - Outer East_Yarra Ranges_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Sub-arterial Road,20192017
20192135_VIC_Major Cities of Australia_Melbourne - South East_Kingston (Vic.)_Arterial Road,VIC,Major Cities of Australia,Melbourne - South East,Kingston (Vic.),Arterial Road,20192135
20192018_VIC_Outer Regional Australia_Warrnambool and South West_Glenelg_Local Road,VIC,Outer Regional Australia,Warrnambool and South West,Glenelg,Local Road,20192018
20191258_NSW_Major Cities of Australia_Sydney - Parramatta_Cumberland_Collector Road,NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,Collector Road,20191258
20191106_NSW_Major Cities of Australia_Sydney - Sutherland_Sutherland_Local Road,NSW,Major Cities of Australia,Sydney - Sutherland,Sutherland,Local Road,20191106
20191050_NSW_Inner Regional Australia_Richmond - Tweed_Byron_Arterial Road,NSW,Inner Regional Australia,Richmond - Tweed,Byron,Arterial Road,20191050
20193081_QLD_Outer Regional Australia_Townsville_Townsville_National or State Highway,QLD,Outer Regional Australia,Townsville,Townsville,National or State Highway,20193081
20191037_NSW_Outer Regional Australia_New England and North West_Tamworth_National or State Highway,NSW,Outer Regional Australia,New England and North West,Tamworth,National or State Highway,20191037
20191107_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Collector Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Collector Road,20191107
20191290_NSW_Major Cities of Australia_Illawarra_Wollongong_Local Road,NSW,Major Cities of Australia,Illawarra,Wollongong,Local Road,20191290
20192185_VIC_Inner Regional Australia_Latrobe - Gippsland_South Gippsland_Local Road,VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland,Local Road,20192185
20193156_QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Isaac_Local Road,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Isaac,Local Road,20193156
20192044_VIC_Major Cities of Australia_Melbourne - Outer East_Knox_National or State Highway,VIC,Major Cities of Australia,Melbourne - Outer East,Knox,National or State Highway,20192044
20191314_NSW_Inner Regional Australia_Central West_Lithgow_National or State Highway,NSW,Inner Regional Australia,Central West,Lithgow,National or State Highway,20191314
20191100_NSW_Major Cities of Australia_Sydney - Parramatta_Parramatta_Local Road,NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,Local Road,20191100
20191047_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Maitland_Sub-arterial Road,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Maitland,Sub-arterial Road,20191047
20192160_VIC_Inner Regional Australia_Geelong_Golden Plains_Sub-arterial Road,VIC,Inner Regional Australia,Geelong,Golden Plains,Sub-arterial Road,20192160
20192012_VIC_Major Cities of Australia_Melbourne - West_Wyndham_Local Road,VIC,Major Cities of Australia,Melbourne - West,Wyndham,Local Road,20192012
20195048_WA_Major Cities of Australia_Perth - South East_Canning_National or State Highway,WA,Major Cities of Australia,Perth - South East,Canning,National or State Highway,20195048
20191159_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Singleton_National or State Highway,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,National or State Highway,20191159
20194044_SA_Major Cities of Australia_Adelaide - Central and Hills_Prospect_Collector Road,SA,Major Cities of Australia,Adelaide - Central and Hills,Prospect,Collector Road,20194044
20193003_QLD_Inner Regional Australia_Central Queensland_Gladstone_National or State Highway,QLD,Inner Regional Australia,Central Queensland,Gladstone,National or State Highway,20193003
20191220_NSW_Outer Regional Australia_New England and North West_Tamworth_National or State Highway,NSW,Outer Regional Australia,New England and North West,Tamworth,National or State Highway,20191220
20192037_VIC_Major Cities of Australia_Melbourne - Outer East_Maroondah_Local Road,VIC,Major Cities of Australia,Melbourne - Outer East,Maroondah,Local Road,20192037
20191192_NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway,NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway,20191192
20193171_QLD_Outer Regional Australia_Central Queensland_Gladstone_Access road,QLD,Outer Regional Australia,Central Queensland,Gladstone,Access road,20193171
20195123_WA_Major Cities of Australia_Mandurah_Mandurah_Arterial Road,WA,Major Cities of Australia,Mandurah,Mandurah,Arterial Road,20195123
20195072_WA_Very Remote Australia_Western Australia - Outback (North)_Port Hedland_National or State Highway,WA,Very Remote Australia,Western Australia - Outback (North),Port Hedland,National or State Highway,20195072
20191005_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Clarence Valley_Sub-arterial Road,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Sub-arterial Road,20191005
20192189_VIC_Outer Regional Australia_Hume_Towong_Collector Road,VIC,Outer Regional Australia,Hume,Towong,Collector Road,20192189
20191210_NSW_Major Cities of Australia_Sydney - Inner South West_Bayside (NSW)_Local Road,NSW,Major Cities of Australia,Sydney - Inner South West,Bayside (NSW),Local Road,20191210
20191172_NSW_Major Cities of Australia_Sydney - Outer South West_Campbelltown (NSW)_National or State Highway,NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),National or State Highway,20191172
20192058_VIC_Inner Regional Australia_Warrnambool and South West_Warrnambool_Arterial Road,VIC,Inner Regional Australia,Warrnambool and South West,Warrnambool,Arterial Road,20192058
20192043_VIC_Major Cities of Australia_Melbourne - Outer East_Yarra Ranges_Access road,VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Access road,20192043
20192200_VIC_Major Cities of Australia_Melbourne - North East_Whittlesea_Arterial Road,VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Arterial Road,20192200
20193091_QLD_Outer Regional Australia_Cairns_Cairns_Local Road,QLD,Outer Regional Australia,Cairns,Cairns,Local Road,20193091
20195138_WA_Inner Regional Australia_Bunbury_Collie_Local Road,WA,Inner Regional Australia,Bunbury,Collie,Local Road,20195138
20196022_TAS_Outer Regional Australia_Launceston and North East_Northern Midlands_National or State Highway,TAS,Outer Regional Australia,Launceston and North East,Northern Midlands,National or State Highway,20196022
20191271_NSW_Inner Regional Australia_Richmond - Tweed_Lismore_Arterial Road,NSW,Inner Regional Australia,Richmond - Tweed,Lismore,Arterial Road,20191271
20193014_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Local Road,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Local Road,20193014
20195050_WA_Remote Australia_Western Australia - Wheat Belt_Yilgarn_Arterial Road,WA,Remote Australia,Western Australia - Wheat Belt,Yilgarn,Arterial Road,20195050
20192033_VIC_Major Cities of Australia_Geelong_Greater Geelong_Sub-arterial Road,VIC,Major Cities of Australia,Geelong,Greater Geelong,Sub-arterial Road,20192033
20191241_NSW_Major Cities of Australia_Richmond - Tweed_Tweed_Local Road,NSW,Major Cities of Australia,Richmond - Tweed,Tweed,Local Road,20191241
20195034_WA_Major Cities of Australia_Perth - Inner_Perth_Local Road,WA,Major Cities of Australia,Perth - Inner,Perth,Local Road,20195034
20191182_NSW_Major Cities of Australia_Sydney - Eastern Suburbs_Randwick_Arterial Road,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Arterial Road,20191182
20196029_TAS_Outer Regional Australia_West and North West_Latrobe (Tas.)_Arterial Road,TAS,Outer Regional Australia,West and North West,Latrobe (Tas.),Arterial Road,20196029
20192023_VIC_Inner Regional Australia_Geelong_Greater Geelong_Local Road,VIC,Inner Regional Australia,Geelong,Greater Geelong,Local Road,20192023
20191181_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Collector Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Collector Road,20191181
20191025_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Bellingen_National or State Highway,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Bellingen,National or State Highway,20191025
20191021_NSW_Outer Regional Australia_Murray_Balranald_National or State Highway,NSW,Outer Regional Australia,Murray,Balranald,National or State Highway,20191021
20192103_VIC_Outer Regional Australia_North West_Mildura_Local Road,VIC,Outer Regional Australia,North West,Mildura,Local Road,20192103
20192040_VIC_Major Cities of Australia_Melbourne - South East_Monash_National or State Highway,VIC,Major Cities of Australia,Melbourne - South East,Monash,National or State Highway,20192040
20194017_SA_Outer Regional Australia_Barossa - Yorke - Mid North_Barunga West_Local Road,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Barunga West,Local Road,20194017
20192220_VIC_Inner Regional Australia_Melbourne - North West_Macedon Ranges_Collector Road,VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Collector Road,20192220
20192148_VIC_Inner Regional Australia_Shepparton_Greater Shepparton_Sub-arterial Road,VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Sub-arterial Road,20192148
20195002_WA_Outer Regional Australia_Western Australia - Wheat Belt_Plantagenet_Local Road,WA,Outer Regional Australia,Western Australia - Wheat Belt,Plantagenet,Local Road,20195002
20192178_VIC_Inner Regional Australia_Latrobe - Gippsland_South Gippsland_Arterial Road,VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland,Arterial Road,20192178
20192097_VIC_Inner Regional Australia_Bendigo_Loddon_Arterial Road,VIC,Inner Regional Australia,Bendigo,Loddon,Arterial Road,20192097
20193075_QLD_Outer Regional Australia_Cairns_Mareeba_National or State Highway,QLD,Outer Regional Australia,Cairns,Mareeba,National or State Highway,20193075
20192202_VIC_Inner Regional Australia_Ballarat_Moorabool_National or State Highway,VIC,Inner Regional Australia,Ballarat,Moorabool,National or State Highway,20192202
