locationId,state,nationalRemoteAreas,sa4Name,lgaName,nationalRoadType,crashId
20243098_QLD_Inner Regional Australia_Wide Bay_Bundaberg_Sub-arterial Road,QLD,Inner Regional Australia,Wide Bay,Bundaberg,Sub-arterial Road,20243098
20241306_NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_The Hills_Collector Road,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Collector Road,20241306
20243037_QLD_Outer Regional Australia_Cairns_Cairns_Local Road,QLD,Outer Regional Australia,Cairns,Cairns,Local Road,20243037
20244083_SA_Major Cities of Australia_Adelaide - North_Salisbury_Local Road,SA,Major Cities of Australia,Adelaide - North,Salisbury,Local Road,20244083
20241196_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Port Stephens_Sub-arterial Road,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Sub-arterial Road,20241196
20244028_SA_Inner Regional Australia_South Australia - South East_Yankalilla_Arterial Road,SA,Inner Regional Australia,South Australia - South East,Yankalilla,Arterial Road,20244028
20243038_QLD_Inner Regional Australia_Darling Downs - Maranoa_Southern Downs_Local Road,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road,20243038
20242023_VIC_Inner Regional Australia_Melbourne - North West_Macedon Ranges_Sub-arterial Road,VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Sub-arterial Road,20242023
20242230_VIC_Inner Regional Australia_Warrnambool and South West_Moyne_Arterial Road,VIC,Inner Regional Australia,Warrnambool and South West,Moyne,Arterial Road,20242230
20242127_VIC_Major Cities of Australia_Melbourne - South East_Cardinia_Collector Road,VIC,Major Cities of Australia,Melbourne - South East,Cardinia,Collector Road,20242127
20242120_VIC_Outer Regional Australia_Latrobe - Gippsland_East Gippsland_Arterial Road,VIC,Outer Regional Australia,Latrobe - Gippsland,East Gippsland,Arterial Road,20242120
20241106_NSW_Inner Regional Australia_Richmond - Tweed_Ballina_Sub-arterial Road,NSW,Inner Regional Australia,Richmond - Tweed,Ballina,Sub-arterial Road,20241106
20241230_NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_Hornsby_Arterial Road,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Arterial Road,20241230
20241055_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Local Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Local Road,20241055
20241267_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Muswellbrook_Local Road,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,Local Road,20241267
20242260_VIC_Major Cities of Australia_Melbourne - North East_Whittlesea_Arterial Road,VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Arterial Road,20242260
20242057_VIC_Inner Regional Australia_Melbourne - North West_Macedon Ranges_Arterial Road,VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Arterial Road,20242057
20243153_QLD_Very Remote Australia_Queensland - Outback_Mareeba_Sub-arterial Road,QLD,Very Remote Australia,Queensland - Outback,Mareeba,Sub-arterial Road,20243153
20242161_VIC_Major Cities of Australia_Melbourne - North East_Whittlesea_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Sub-arterial Road,20242161
20241236_NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_Arterial Road,NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,Arterial Road,20241236
20243172_QLD_Inner Regional Australia_Central Queensland_Rockhampton_Pedestrian Thoroughfare,QLD,Inner Regional Australia,Central Queensland,Rockhampton,Pedestrian Thoroughfare,20243172
20241188_NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_National or State Highway,NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,National or State Highway,20241188
20243191_QLD_Inner Regional Australia_Ipswich_Ipswich_Sub-arterial Road,QLD,Inner Regional Australia,Ipswich,Ipswich,Sub-arterial Road,20243191
20241256_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Muswellbrook_Arterial Road,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,Arterial Road,20241256
20242019_VIC_Outer Regional Australia_Warrnambool and South West_Glenelg_National or State Highway,VIC,Outer Regional Australia,Warrnambool and South West,Glenelg,National or State Highway,20242019
20243008_QLD_Inner Regional Australia_Wide Bay_Bundaberg_Collector Road,QLD,Inner Regional Australia,Wide Bay,Bundaberg,Collector Road,20243008
20243001_QLD_Outer Regional Australia_Cairns_Douglas_National or State Highway,QLD,Outer Regional Australia,Cairns,Douglas,National or State Highway,20243001
20243041_QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_Sub-arterial Road,QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,Sub-arterial Road,20243041
20244021_SA_Major Cities of Australia_Adelaide - West_Port Adelaide Enfield_Arterial Road,SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,Arterial Road,20244021
20243113_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Local Road,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Local Road,20243113
20241107_NSW_Outer Regional Australia_Central West_Cabonne_Arterial Road,NSW,Outer Regional Australia,Central West,Cabonne,Arterial Road,20241107
20243022_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Collector Road,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Collector Road,20243022
20248002_ACT_Major Cities of Australia_Australian Capital Territory_Unincorporated ACT_Arterial Road,ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Arterial Road,20248002
