crashId,locationId
20244010,20244010_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Light_Arterial Road
20244040,20244040_SA_Major Cities of Australia_Adelaide - North_Salisbury_Collector Road
20243171,20243171_QLD_Outer Regional Australia_Cairns_Cairns_National or State Highway
20242075,20242075_VIC_Inner Regional Australia_Warrnambool and South West_Colac Otway_Arterial Road
20243079,20243079_QLD_Very Remote Australia_Queensland - Outback_McKinlay_Sub-arterial Road
20241045,20241045_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Singleton_Local Road
20243017,20243017_QLD_Outer Regional Australia_Central Queensland_Gladstone_National or State Highway
20241160,20241160_NSW_Inner Regional Australia_Riverina_Wagga Wagga_Sub-arterial Road
20241081,20241081_NSW_Inner Regional Australia_Central West_Lithgow_National or State Highway
20241135,20241135_NSW_Outer Regional Australia_New England and North West_Moree Plains_National or State Highway
20241209,20241209_NSW_Major Cities of Australia_Sydney - Outer South West_Campbelltown (NSW)_National or State Highway
20242140,20242140_VIC_Inner Regional Australia_Warrnambool and South West_Moyne_National or State Highway
20242142,20242142_VIC_Inner Regional Australia_Melbourne - North West_Macedon Ranges_Sub-arterial Road
20243107,20243107_QLD_Outer Regional Australia_Cairns_Cairns_Sub-arterial Road
20243020,20243020_QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_Local Road
20241151,20241151_NSW_Outer Regional Australia_Far West and Orana_Warrumbungle_Local Road
20243158,20243158_QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Whitsunday_National or State Highway
20241286,20241286_NSW_Outer Regional Australia_Hunter Valley exc Newcastle_Upper Hunter_Arterial Road
20243102,20243102_QLD_Major Cities of Australia_Sunshine Coast_Noosa_Sub-arterial Road
20241303,20241303_NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Port Stephens_Arterial Road
20246029,20246029_TAS_Outer Regional Australia_Launceston and North East_West Tamar_National or State Highway
20248005,20248005_ACT_Major Cities of Australia_Australian Capital Territory_Unincorporated ACT_Arterial Road
20244018,20244018_SA_Major Cities of Australia_Adelaide - North_Gawler_Collector Road
20241060,20241060_NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_Arterial Road
20242022,20242022_VIC_Inner Regional Australia_Hume_Alpine_Local Road
20241037,20241037_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road
20241257,20241257_NSW_Inner Regional Australia_Central West_Cabonne_Local Road
20241128,20241128_NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown_National or State Highway
20243089,20243089_QLD_Major Cities of Australia_Ipswich_Brisbane_Collector Road
20242181,20242181_VIC_Inner Regional Australia_Latrobe - Gippsland_Baw Baw_Local Road
20243082,20243082_QLD_Remote Australia_Mackay - Isaac - Whitsunday_Isaac_National or State Highway
20243150,20243150_QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_National or State Highway
20243170,20243170_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Sub-arterial Road
20243239,20243239_QLD_Remote Australia_Darling Downs - Maranoa_Maranoa_National or State Highway
20242040,20242040_VIC_Outer Regional Australia_Warrnambool and South West_Southern Grampians_National or State Highway
20243084,20243084_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Sub-arterial Road
20241030,20241030_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Cessnock_Arterial Road
20243127,20243127_QLD_Inner Regional Australia_Logan - Beaudesert_Scenic Rim_National or State Highway
20243003,20243003_QLD_Inner Regional Australia_Ipswich_Somerset_Local Road
20243266,20243266_QLD_Remote Australia_Townsville_Hinchinbrook_Access road
20241042,20241042_NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Blue Mountains_National or State Highway
20243121,20243121_QLD_Inner Regional Australia_Logan - Beaudesert_Scenic Rim_Sub-arterial Road
