locationId,state,nationalRemoteAreas,sa4Name,lgaName,crashId
SA_Major Cities of Australia_Adelaide - Central and Hills_Walkerville,SA,Major Cities of Australia,Adelaide - Central and Hills,Walkerville,20234029
NSW_Major Cities of Australia_Sydney - City and Inner South_Bayside (NSW),NSW,Major Cities of Australia,Sydney - City and Inner South,Bayside (NSW),20231198
NSW_Inner Regional Australia_Illawarra_Sutherland,NSW,Inner Regional Australia,Illawarra,Sutherland,20231231
VIC_Major Cities of Australia_Melbourne - Inner East_Whitehorse,VIC,Major Cities of Australia,Melbourne - Inner East,Whitehorse,20232196
NSW_Remote Australia_Murray_Wentworth,NSW,Remote Australia,Murray,Wentworth,20231076
TAS_Outer Regional Australia_South East_Tasman,TAS,Outer Regional Australia,South East,Tasman,20236006
TAS_Outer Regional Australia_West and North West_Latrobe (Tas.),TAS,Outer Regional Australia,West and North West,Latrobe (Tas.),20236025
SA_Outer Regional Australia_South Australia - Outback_Port Augusta,SA,Outer Regional Australia,South Australia - Outback,Port Augusta,20234084
VIC_Outer Regional Australia_Hume_Benalla,VIC,Outer Regional Australia,Hume,Benalla,20232009
NSW_Outer Regional Australia_New England and North West_Liverpool Plains,NSW,Outer Regional Australia,New England and North West,Liverpool Plains,20231145
VIC_Inner Regional Australia_Mornington Peninsula_Mornington Peninsula,VIC,Inner Regional Australia,Mornington Peninsula,Mornington Peninsula,20232018
QLD_Outer Regional Australia_Central Queensland_Banana,QLD,Outer Regional Australia,Central Queensland,Banana,20233161
SA_Major Cities of Australia_Adelaide - Central and Hills_Mount Barker,SA,Major Cities of Australia,Adelaide - Central and Hills,Mount Barker,20234020
NSW_Major Cities of Australia_Sydney - City and Inner South_Inner West,NSW,Major Cities of Australia,Sydney - City and Inner South,Inner West,20231052
NSW_Inner Regional Australia_Capital Region_Eurobodalla,NSW,Inner Regional Australia,Capital Region,Eurobodalla,20231285
NSW_Major Cities of Australia_Sydney - Sutherland_Sutherland,NSW,Major Cities of Australia,Sydney - Sutherland,Sutherland,20231178
SA_Outer Regional Australia_Barossa - Yorke - Mid North_Barunga West,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Barunga West,20234068
NSW_Inner Regional Australia_New England and North West_Tamworth,NSW,Inner Regional Australia,New England and North West,Tamworth,20231190
TAS_Remote Australia_West and North West_West Coast,TAS,Remote Australia,West and North West,West Coast,20236012
SA_Outer Regional Australia_South Australia - South East_Tatiara,SA,Outer Regional Australia,South Australia - South East,Tatiara,20234025
NSW_Inner Regional Australia_Capital Region_Snowy Monaro,NSW,Inner Regional Australia,Capital Region,Snowy Monaro,20231256
QLD_Very Remote Australia_Queensland - Outback_Etheridge,QLD,Very Remote Australia,Queensland - Outback,Etheridge,20233224
NSW_Outer Regional Australia_Central West_Bland,NSW,Outer Regional Australia,Central West,Bland,20231283
NSW_Outer Regional Australia_Central West_Oberon,NSW,Outer Regional Australia,Central West,Oberon,20231152
QLD_Outer Regional Australia_Darling Downs - Maranoa_Maranoa,QLD,Outer Regional Australia,Darling Downs - Maranoa,Maranoa,20233020
VIC_Inner Regional Australia_Warrnambool and South West_Corangamite,VIC,Inner Regional Australia,Warrnambool and South West,Corangamite,20232170
SA_Outer Regional Australia_Barossa - Yorke - Mid North_Yorke Peninsula,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Yorke Peninsula,20234077
TAS_Inner Regional Australia_Hobart_Derwent Valley,TAS,Inner Regional Australia,Hobart,Derwent Valley,20236003
NSW_Major Cities of Australia_Sydney - Ryde_Hornsby,NSW,Major Cities of Australia,Sydney - Ryde,Hornsby,20231220
SA_Outer Regional Australia_Barossa - Yorke - Mid North_Port Pirie,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Port Pirie,20234026
NSW_Outer Regional Australia_Hunter Valley exc Newcastle_Muswellbrook,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,20231163
TAS_Outer Regional Australia_West and North West_Circular Head,TAS,Outer Regional Australia,West and North West,Circular Head,20236011
TAS_Outer Regional Australia_West and North West_Devonport,TAS,Outer Regional Australia,West and North West,Devonport,20236027
QLD_Very Remote Australia_Queensland - Outback_Flinders (Qld),QLD,Very Remote Australia,Queensland - Outback,Flinders (Qld),20233175
NSW_Major Cities of Australia_Sydney - Inner West_Burwood,NSW,Major Cities of Australia,Sydney - Inner West,Burwood,20231085
NT_Remote Australia_Northern Territory - Outback_Alice Springs,NT,Remote Australia,Northern Territory - Outback,Alice Springs,20237021
NSW_Outer Regional Australia_Mid North Coast_Nambucca Valley,NSW,Outer Regional Australia,Mid North Coast,Nambucca Valley,20231086
QLD_Outer Regional Australia_Moreton Bay - North_Somerset,QLD,Outer Regional Australia,Moreton Bay - North,Somerset,20233118
NT_Very Remote Australia_Northern Territory - Outback_Victoria Daly,NT,Very Remote Australia,Northern Territory - Outback,Victoria Daly,20237006
NSW_Remote Australia_Central West_Lachlan,NSW,Remote Australia,Central West,Lachlan,20231012
NSW_Outer Regional Australia_New England and North West_Gwydir,NSW,Outer Regional Australia,New England and North West,Gwydir,20231248
SA_Major Cities of Australia_Adelaide - North_Port Adelaide Enfield,SA,Major Cities of Australia,Adelaide - North,Port Adelaide Enfield,20234006
VIC_Inner Regional Australia_Bendigo_Macedon Ranges,VIC,Inner Regional Australia,Bendigo,Macedon Ranges,20232042
VIC_Major Cities of Australia_Melbourne - North East_Banyule,VIC,Major Cities of Australia,Melbourne - North East,Banyule,20232033
NSW_Outer Regional Australia_Central West_Lithgow,NSW,Outer Regional Australia,Central West,Lithgow,20231057
NSW_Inner Regional Australia_Murray_Federation,NSW,Inner Regional Australia,Murray,Federation,20231150
NSW_Outer Regional Australia_Riverina_Wagga Wagga,NSW,Outer Regional Australia,Riverina,Wagga Wagga,20231289
NSW_Remote Australia_Far West and Orana_Coonamble,NSW,Remote Australia,Far West and Orana,Coonamble,20231035
NSW_Inner Regional Australia_Mid North Coast_Kempsey,NSW,Inner Regional Australia,Mid North Coast,Kempsey,20231146
NSW_Outer Regional Australia_Riverina_Carrathool,NSW,Outer Regional Australia,Riverina,Carrathool,20231028
QLD_Very Remote Australia_Queensland - Outback_Barcoo,QLD,Very Remote Australia,Queensland - Outback,Barcoo,20233241
QLD_Outer Regional Australia_Queensland - Outback_Mareeba,QLD,Outer Regional Australia,Queensland - Outback,Mareeba,20233117
