locationId,state,nationalRemoteAreas,sa4Name,lgaName,crashId
VIC_Inner Regional Australia_Hume_Wodonga,VIC,Inner Regional Australia,Hume,Wodonga,20242012
NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Mid-Coast,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Mid-Coast,20241269
VIC_Major Cities of Australia_Melbourne - Inner_Darebin,VIC,Major Cities of Australia,Melbourne - Inner,Darebin,20242093
VIC_Inner Regional Australia_Ballarat_Ballarat,VIC,Inner Regional Australia,Ballarat,Ballarat,20242255
NSW_Inner Regional Australia_Southern Highlands and Shoalhaven_Wingecarribee,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,20241066
VIC_Inner Regional Australia_Melbourne - South East_Cardinia,VIC,Inner Regional Australia,Melbourne - South East,Cardinia,20242175
VIC_Major Cities of Australia_Melbourne - Outer East_Maroondah,VIC,Major Cities of Australia,Melbourne - Outer East,Maroondah,20242029
NSW_Major Cities of Australia_Richmond - Tweed_Tweed,NSW,Major Cities of Australia,Richmond - Tweed,Tweed,20241078
QLD_Outer Regional Australia_Wide Bay_North Burnett,QLD,Outer Regional Australia,Wide Bay,North Burnett,20243064
NSW_Remote Australia_New England and North West_Moree Plains,NSW,Remote Australia,New England and North West,Moree Plains,20241013
VIC_Major Cities of Australia_Mornington Peninsula_Mornington Peninsula,VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,20242257
SA_Major Cities of Australia_Adelaide - Central and Hills_Unley,SA,Major Cities of Australia,Adelaide - Central and Hills,Unley,20244014
SA_Inner Regional Australia_South Australia - South East_Alexandrina,SA,Inner Regional Australia,South Australia - South East,Alexandrina,20244069
QLD_Outer Regional Australia_Wide Bay_Gympie,QLD,Outer Regional Australia,Wide Bay,Gympie,20243067
VIC_Major Cities of Australia_Melbourne - West_Melton,VIC,Major Cities of Australia,Melbourne - West,Melton,20242186
QLD_Outer Regional Australia_Townsville_Burdekin,QLD,Outer Regional Australia,Townsville,Burdekin,20243167
VIC_Major Cities of Australia_Melbourne - Outer East_Knox,VIC,Major Cities of Australia,Melbourne - Outer East,Knox,20242098
VIC_Inner Regional Australia_Melbourne - North East_Whittlesea,VIC,Inner Regional Australia,Melbourne - North East,Whittlesea,20242070
VIC_Major Cities of Australia_Melbourne - South East_Monash,VIC,Major Cities of Australia,Melbourne - South East,Monash,20242102
NSW_Very Remote Australia_Far West and Orana_Unincorporated NSW,NSW,Very Remote Australia,Far West and Orana,Unincorporated NSW,20241109
QLD_Very Remote Australia_Queensland - Outback_Barcaldine,QLD,Very Remote Australia,Queensland - Outback,Barcaldine,20243268
VIC_Major Cities of Australia_Melbourne - West_Wyndham,VIC,Major Cities of Australia,Melbourne - West,Wyndham,20242071
NSW_Outer Regional Australia_New England and North West_Glen Innes Severn,NSW,Outer Regional Australia,New England and North West,Glen Innes Severn,20241020
NSW_Major Cities of Australia_Sydney - Northern Beaches_Northern Beaches,NSW,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,20241199
QLD_Outer Regional Australia_Townsville_Townsville,QLD,Outer Regional Australia,Townsville,Townsville,20243066
QLD_Outer Regional Australia_Central Queensland_Livingstone,QLD,Outer Regional Australia,Central Queensland,Livingstone,20243203
VIC_Major Cities of Australia_Melbourne - Outer East_Yarra Ranges,VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,20242056
VIC_Inner Regional Australia_Ballarat_Golden Plains,VIC,Inner Regional Australia,Ballarat,Golden Plains,20242130
QLD_Very Remote Australia_Queensland - Outback_Cook,QLD,Very Remote Australia,Queensland - Outback,Cook,20243010
TAS_Inner Regional Australia_Hobart_Clarence,TAS,Inner Regional Australia,Hobart,Clarence,20246018
NSW_Major Cities of Australia_Sydney - Inner South West_Georges River,NSW,Major Cities of Australia,Sydney - Inner South West,Georges River,20241071
NSW_Major Cities of Australia_Hunter Valley exc Newcastle_Maitland,NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,20241221
NSW_Inner Regional Australia_Murray_Greater Hume,NSW,Inner Regional Australia,Murray,Greater Hume,20241143
VIC_Major Cities of Australia_Melbourne - South East_Kingston (Vic.),VIC,Major Cities of Australia,Melbourne - South East,Kingston (Vic.),20242189
VIC_Major Cities of Australia_Melbourne - Inner East_Manningham,VIC,Major Cities of Australia,Melbourne - Inner East,Manningham,20242170
NSW_Inner Regional Australia_Central West_Bathurst,NSW,Inner Regional Australia,Central West,Bathurst,20241140
SA_Remote Australia_South Australia - Outback_Wudinna,SA,Remote Australia,South Australia - Outback,Wudinna,20244063
NSW_Outer Regional Australia_New England and North West_Inverell,NSW,Outer Regional Australia,New England and North West,Inverell,20241131
VIC_Major Cities of Australia_Melbourne - West_Brimbank,VIC,Major Cities of Australia,Melbourne - West,Brimbank,20242172
VIC_Major Cities of Australia_Melbourne - North East_Darebin,VIC,Major Cities of Australia,Melbourne - North East,Darebin,20242055
SA_Major Cities of Australia_Adelaide - West_Charles Sturt,SA,Major Cities of Australia,Adelaide - West,Charles Sturt,20244067
TAS_Very Remote Australia_Launceston and North East_Flinders (Tas.),TAS,Very Remote Australia,Launceston and North East,Flinders (Tas.),20246024
TAS_Outer Regional Australia_West and North West_Burnie,TAS,Outer Regional Australia,West and North West,Burnie,20246011
NSW_Inner Regional Australia_Far West and Orana_Dubbo,NSW,Inner Regional Australia,Far West and Orana,Dubbo,20241253
VIC_Major Cities of Australia_Geelong_Greater Geelong,VIC,Major Cities of Australia,Geelong,Greater Geelong,20242251
SA_Major Cities of Australia_Adelaide - Central and Hills_Adelaide Hills,SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide Hills,20244034
VIC_Inner Regional Australia_Hume_Mitchell,VIC,Inner Regional Australia,Hume,Mitchell,20242194
SA_Inner Regional Australia_Adelaide - South_Onkaparinga,SA,Inner Regional Australia,Adelaide - South,Onkaparinga,20244007
VIC_Major Cities of Australia_Melbourne - Inner South_Stonnington,VIC,Major Cities of Australia,Melbourne - Inner South,Stonnington,20242060
TAS_Outer Regional Australia_Launceston and North East_Launceston,TAS,Outer Regional Australia,Launceston and North East,Launceston,20246026
VIC_Inner Regional Australia_Hume_Indigo,VIC,Inner Regional Australia,Hume,Indigo,20242155
VIC_Major Cities of Australia_Melbourne - Inner_Yarra,VIC,Major Cities of Australia,Melbourne - Inner,Yarra,20242032
VIC_Major Cities of Australia_Melbourne - Inner_Port Phillip,VIC,Major Cities of Australia,Melbourne - Inner,Port Phillip,20242064
TAS_Outer Regional Australia_West and North West_Waratah-Wynyard,TAS,Outer Regional Australia,West and North West,Waratah-Wynyard,20246002
VIC_Inner Regional Australia_Shepparton_Campaspe,VIC,Inner Regional Australia,Shepparton,Campaspe,20242099
NT_Very Remote Australia_Northern Territory - Outback_Barkly,NT,Very Remote Australia,Northern Territory - Outback,Barkly,20247022
NSW_Major Cities of Australia_Sydney - Parramatta_Blacktown,NSW,Major Cities of Australia,Sydney - Parramatta,Blacktown,20241265
NSW_Inner Regional Australia_Central West_Blayney,NSW,Inner Regional Australia,Central West,Blayney,20241299
SA_Major Cities of Australia_Adelaide - Central and Hills_Campbelltown (SA),SA,Major Cities of Australia,Adelaide - Central and Hills,Campbelltown (SA),20244078
VIC_Inner Regional Australia_Latrobe - Gippsland_Latrobe (Vic.),VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),20242201
NT_Outer Regional Australia_Darwin_Palmerston,NT,Outer Regional Australia,Darwin,Palmerston,20247034
NSW_Outer Regional Australia_New England and North West_Gunnedah,NSW,Outer Regional Australia,New England and North West,Gunnedah,20241260
TAS_Outer Regional Australia_Launceston and North East_Break O'Day,TAS,Outer Regional Australia,Launceston and North East,Break O'Day,20246014
VIC_Outer Regional Australia_North West_Buloke,VIC,Outer Regional Australia,North West,Buloke,20242024
VIC_Outer Regional Australia_North West_West Wimmera,VIC,Outer Regional Australia,North West,West Wimmera,20242169
NSW_Major Cities of Australia_Sydney - North Sydney and Hornsby_Ku-ring-gai,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Ku-ring-gai,20241082
NSW_Inner Regional Australia_Southern Highlands and Shoalhaven_Shoalhaven,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,20241229
VIC_Inner Regional Australia_Warrnambool and South West_Warrnambool,VIC,Inner Regional Australia,Warrnambool and South West,Warrnambool,20242238
NSW_Inner Regional Australia_Murray_Berrigan,NSW,Inner Regional Australia,Murray,Berrigan,20241032
NSW_Remote Australia_Far West and Orana_Warren,NSW,Remote Australia,Far West and Orana,Warren,20241031
VIC_Inner Regional Australia_Shepparton_Moira,VIC,Inner Regional Australia,Shepparton,Moira,20242112
QLD_Major Cities of Australia_Brisbane - North_Brisbane,QLD,Major Cities of Australia,Brisbane - North,Brisbane,20243042
SA_Outer Regional Australia_South Australia - South East_Berri Barmera,SA,Outer Regional Australia,South Australia - South East,Berri Barmera,20244005
VIC_Major Cities of Australia_Melbourne - Inner_Moonee Valley,VIC,Major Cities of Australia,Melbourne - Inner,Moonee Valley,20242212
NT_Outer Regional Australia_Darwin_Litchfield,NT,Outer Regional Australia,Darwin,Litchfield,20247007
VIC_Major Cities of Australia_Melbourne - South East_Greater Dandenong,VIC,Major Cities of Australia,Melbourne - South East,Greater Dandenong,20242020
VIC_Inner Regional Australia_Geelong_Golden Plains,VIC,Inner Regional Australia,Geelong,Golden Plains,20242187
QLD_Outer Regional Australia_Darling Downs - Maranoa_Toowoomba,QLD,Outer Regional Australia,Darling Downs - Maranoa,Toowoomba,20243214
VIC_Major Cities of Australia_Melbourne - North West_Moonee Valley,VIC,Major Cities of Australia,Melbourne - North West,Moonee Valley,20242162
SA_Major Cities of Australia_Adelaide - South_Onkaparinga,SA,Major Cities of Australia,Adelaide - South,Onkaparinga,20244071
NSW_Major Cities of Australia_Sydney - Inner West_Inner West,NSW,Major Cities of Australia,Sydney - Inner West,Inner West,20241047
SA_Outer Regional Australia_South Australia - Outback_Whyalla,SA,Outer Regional Australia,South Australia - Outback,Whyalla,20244079
QLD_Outer Regional Australia_Central Queensland_Rockhampton,QLD,Outer Regional Australia,Central Queensland,Rockhampton,20243148
SA_Remote Australia_South Australia - Outback_Unincorporated SA,SA,Remote Australia,South Australia - Outback,Unincorporated SA,20244022
QLD_Inner Regional Australia_Central Queensland_Gladstone,QLD,Inner Regional Australia,Central Queensland,Gladstone,20243163
QLD_Inner Regional Australia_Sunshine Coast_Noosa,QLD,Inner Regional Australia,Sunshine Coast,Noosa,20243269
QLD_Remote Australia_Queensland - Outback_Mount Isa,QLD,Remote Australia,Queensland - Outback,Mount Isa,20243056
VIC_Major Cities of Australia_Melbourne - Inner South_Kingston (Vic.),VIC,Major Cities of Australia,Melbourne - Inner South,Kingston (Vic.),20242233
QLD_Inner Regional Australia_Darling Downs - Maranoa_Toowoomba,QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,20243014
VIC_Major Cities of Australia_Melbourne - West_Maribyrnong,VIC,Major Cities of Australia,Melbourne - West,Maribyrnong,20242016
SA_Major Cities of Australia_Adelaide - South_Marion,SA,Major Cities of Australia,Adelaide - South,Marion,20244009
QLD_Inner Regional Australia_Gold Coast_Gold Coast,QLD,Inner Regional Australia,Gold Coast,Gold Coast,20243152
VIC_Outer Regional Australia_North West_Mildura,VIC,Outer Regional Australia,North West,Mildura,20242154
NSW_Inner Regional Australia_Sydney - North Sydney and Hornsby_Hornsby,NSW,Inner Regional Australia,Sydney - North Sydney and Hornsby,Hornsby,20241050
VIC_Outer Regional Australia_Hume_Mansfield,VIC,Outer Regional Australia,Hume,Mansfield,20242214
QLD_Very Remote Australia_Townsville_Charters Towers,QLD,Very Remote Australia,Townsville,Charters Towers,20243238
NSW_Inner Regional Australia_Richmond - Tweed_Richmond Valley,NSW,Inner Regional Australia,Richmond - Tweed,Richmond Valley,20241245
NSW_Inner Regional Australia_Sydney - Sutherland_Sutherland,NSW,Inner Regional Australia,Sydney - Sutherland,Sutherland,20241005
NSW_Inner Regional Australia_Central West_Mid-Western,NSW,Inner Regional Australia,Central West,Mid-Western,20241051
VIC_Major Cities of Australia_Melbourne - North West_Hume,VIC,Major Cities of Australia,Melbourne - North West,Hume,20242109
NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Newcastle,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,20241116
VIC_Major Cities of Australia_Melbourne - Inner South_Glen Eira,VIC,Major Cities of Australia,Melbourne - Inner South,Glen Eira,20242092
QLD_Inner Regional Australia_Sunshine Coast_Sunshine Coast,QLD,Inner Regional Australia,Sunshine Coast,Sunshine Coast,20243151
VIC_Major Cities of Australia_Melbourne - North East_Nillumbik,VIC,Major Cities of Australia,Melbourne - North East,Nillumbik,20242262
VIC_Remote Australia_North West_Yarriambiack,VIC,Remote Australia,North West,Yarriambiack,20242100
VIC_Inner Regional Australia_Ballarat_Pyrenees,VIC,Inner Regional Australia,Ballarat,Pyrenees,20242223
NSW_Remote Australia_Far West and Orana_Unincorporated NSW,NSW,Remote Australia,Far West and Orana,Unincorporated NSW,20241259
NSW_Major Cities of Australia_Sydney - Inner South West_Strathfield,NSW,Major Cities of Australia,Sydney - Inner South West,Strathfield,20241006
NSW_Major Cities of Australia_Sydney - Inner South West_Bayside (NSW),NSW,Major Cities of Australia,Sydney - Inner South West,Bayside (NSW),20241258
NSW_Inner Regional Australia_Coffs Harbour - Grafton_Coffs Harbour,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,20241290
NSW_Inner Regional Australia_Newcastle and Lake Macquarie_Lake Macquarie,NSW,Inner Regional Australia,Newcastle and Lake Macquarie,Lake Macquarie,20241056
QLD_Outer Regional Australia_Wide Bay_Bundaberg,QLD,Outer Regional Australia,Wide Bay,Bundaberg,20243076
SA_Inner Regional Australia_South Australia - South East_Mid Murray,SA,Inner Regional Australia,South Australia - South East,Mid Murray,20244080
SA_Inner Regional Australia_South Australia - South East_Murray Bridge,SA,Inner Regional Australia,South Australia - South East,Murray Bridge,20244047
NSW_Outer Regional Australia_Murray_Murray River,NSW,Outer Regional Australia,Murray,Murray River,20241165
NSW_Major Cities of Australia_Sydney - Outer South West_Camden,NSW,Major Cities of Australia,Sydney - Outer South West,Camden,20241170
TAS_Inner Regional Australia_Hobart_Glenorchy,TAS,Inner Regional Australia,Hobart,Glenorchy,20246015
NSW_Major Cities of Australia_Sydney - North Sydney and Hornsby_Hornsby,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,20241083
NSW_Major Cities of Australia_Sydney - Eastern Suburbs_Randwick,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,20241089
NSW_Major Cities of Australia_Sydney - Inner West_Strathfield,NSW,Major Cities of Australia,Sydney - Inner West,Strathfield,20241295
NSW_Major Cities of Australia_Sydney - Ryde_Hunters Hill,NSW,Major Cities of Australia,Sydney - Ryde,Hunters Hill,20241076
VIC_Inner Regional Australia_Hume_Wangaratta,VIC,Inner Regional Australia,Hume,Wangaratta,20242094
NSW_Outer Regional Australia_Central West_Parkes,NSW,Outer Regional Australia,Central West,Parkes,20241058
NSW_Outer Regional Australia_Far West and Orana_Dubbo,NSW,Outer Regional Australia,Far West and Orana,Dubbo,20241065
NSW_Inner Regional Australia_Richmond - Tweed_Byron,NSW,Inner Regional Australia,Richmond - Tweed,Byron,20241305
NSW_Outer Regional Australia_Far West and Orana_Cabonne,NSW,Outer Regional Australia,Far West and Orana,Cabonne,20241228
ACT_Inner Regional Australia_Australian Capital Territory_Unincorporated ACT,ACT,Inner Regional Australia,Australian Capital Territory,Unincorporated ACT,20248004
VIC_Inner Regional Australia_Ballarat_Moorabool,VIC,Inner Regional Australia,Ballarat,Moorabool,20242101
QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Isaac,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Isaac,20243195
VIC_Inner Regional Australia_Hume_Benalla,VIC,Inner Regional Australia,Hume,Benalla,20242160
NSW_Inner Regional Australia_Coffs Harbour - Grafton_Bellingen,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Bellingen,20241079
VIC_Inner Regional Australia_Latrobe - Gippsland_Wellington,VIC,Inner Regional Australia,Latrobe - Gippsland,Wellington,20242192
NSW_Inner Regional Australia_Central Coast_Central Coast (NSW),NSW,Inner Regional Australia,Central Coast,Central Coast (NSW),20241206
NSW_Outer Regional Australia_Murray_Edward River,NSW,Outer Regional Australia,Murray,Edward River,20241043
SA_Outer Regional Australia_South Australia - South East_Coorong,SA,Outer Regional Australia,South Australia - South East,Coorong,20244054
TAS_Outer Regional Australia_Launceston and North East_George Town,TAS,Outer Regional Australia,Launceston and North East,George Town,20246028
NSW_Major Cities of Australia_Sydney - Ryde_Ryde,NSW,Major Cities of Australia,Sydney - Ryde,Ryde,20241146
VIC_Inner Regional Australia_Latrobe - Gippsland_Bass Coast,VIC,Inner Regional Australia,Latrobe - Gippsland,Bass Coast,20242009
QLD_Very Remote Australia_Queensland - Outback_Richmond,QLD,Very Remote Australia,Queensland - Outback,Richmond,20243025
TAS_Outer Regional Australia_Launceston and North East_Northern Midlands,TAS,Outer Regional Australia,Launceston and North East,Northern Midlands,20246021
VIC_Inner Regional Australia_Hume_Strathbogie,VIC,Inner Regional Australia,Hume,Strathbogie,20242210
NSW_Remote Australia_Murray_Hay,NSW,Remote Australia,Murray,Hay,20241289
NSW_Outer Regional Australia_Central West_Weddin,NSW,Outer Regional Australia,Central West,Weddin,20241126
VIC_Inner Regional Australia_Melbourne - West_Moorabool,VIC,Inner Regional Australia,Melbourne - West,Moorabool,20242021
VIC_Outer Regional Australia_Shepparton_Moira,VIC,Outer Regional Australia,Shepparton,Moira,20242079
NSW_Outer Regional Australia_Central West_Lachlan,NSW,Outer Regional Australia,Central West,Lachlan,20241232
NSW_Major Cities of Australia_Sydney - Eastern Suburbs_Waverley,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Waverley,20241061
VIC_Outer Regional Australia_North West_Northern Grampians,VIC,Outer Regional Australia,North West,Northern Grampians,20242039
QLD_Outer Regional Australia_Townsville_Charters Towers,QLD,Outer Regional Australia,Townsville,Charters Towers,20243028
QLD_Outer Regional Australia_Cairns_Mareeba,QLD,Outer Regional Australia,Cairns,Mareeba,20243105
VIC_Outer Regional Australia_North West_Horsham,VIC,Outer Regional Australia,North West,Horsham,20242258
SA_Inner Regional Australia_Adelaide - North_Adelaide Plains,SA,Inner Regional Australia,Adelaide - North,Adelaide Plains,20244052
VIC_Major Cities of Australia_Melbourne - Inner_Stonnington,VIC,Major Cities of Australia,Melbourne - Inner,Stonnington,20242247
SA_Outer Regional Australia_Barossa - Yorke - Mid North_Mount Remarkable,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Mount Remarkable,20244065
NSW_Outer Regional Australia_Far West and Orana_Gilgandra,NSW,Outer Regional Australia,Far West and Orana,Gilgandra,20241075
SA_Inner Regional Australia_Barossa - Yorke - Mid North_Adelaide Plains,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Adelaide Plains,20244074
QLD_Outer Regional Australia_Darling Downs - Maranoa_Goondiwindi,QLD,Outer Regional Australia,Darling Downs - Maranoa,Goondiwindi,20243230
VIC_Inner Regional Australia_Melbourne - North East_Mitchell,VIC,Inner Regional Australia,Melbourne - North East,Mitchell,20242198
QLD_Remote Australia_Cairns_Cassowary Coast,QLD,Remote Australia,Cairns,Cassowary Coast,20243202
SA_Outer Regional Australia_Barossa - Yorke - Mid North_Clare and Gilbert Valleys,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,20244029
QLD_Major Cities of Australia_Brisbane - West_Brisbane,QLD,Major Cities of Australia,Brisbane - West,Brisbane,20243149
QLD_Inner Regional Australia_Moreton Bay - South_Moreton Bay,QLD,Inner Regional Australia,Moreton Bay - South,Moreton Bay,20243245
SA_Major Cities of Australia_Adelaide - West_West Torrens,SA,Major Cities of Australia,Adelaide - West,West Torrens,20244004
VIC_Outer Regional Australia_North West_Yarriambiack,VIC,Outer Regional Australia,North West,Yarriambiack,20242222
NSW_Inner Regional Australia_Riverina_Snowy Valleys,NSW,Inner Regional Australia,Riverina,Snowy Valleys,20241121
VIC_Major Cities of Australia_Melbourne - Outer East_Whitehorse,VIC,Major Cities of Australia,Melbourne - Outer East,Whitehorse,20242091
QLD_Very Remote Australia_Queensland - Outback_Cloncurry,QLD,Very Remote Australia,Queensland - Outback,Cloncurry,20243077
NSW_Outer Regional Australia_Sydney - Baulkham Hills and Hawkesbury_Hawkesbury,NSW,Outer Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,20241270
QLD_Remote Australia_Darling Downs - Maranoa_Western Downs,QLD,Remote Australia,Darling Downs - Maranoa,Western Downs,20243175
NSW_Major Cities of Australia_Sydney - South West_Penrith,NSW,Major Cities of Australia,Sydney - South West,Penrith,20241242
QLD_Outer Regional Australia_Brisbane - East_Redland,QLD,Outer Regional Australia,Brisbane - East,Redland,20243204
NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_Hawkesbury,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,20241117
TAS_Inner Regional Australia_Hobart_Sorell,TAS,Inner Regional Australia,Hobart,Sorell,20246020
VIC_Outer Regional Australia_Hume_Towong,VIC,Outer Regional Australia,Hume,Towong,20242263
SA_Outer Regional Australia_South Australia - South East_Grant,SA,Outer Regional Australia,South Australia - South East,Grant,20244030
VIC_Inner Regional Australia_Ballarat_Hepburn,VIC,Inner Regional Australia,Ballarat,Hepburn,20242203
QLD_Outer Regional Australia_Central Queensland_Central Highlands (Qld),QLD,Outer Regional Australia,Central Queensland,Central Highlands (Qld),20243196
QLD_Remote Australia_Townsville_Charters Towers,QLD,Remote Australia,Townsville,Charters Towers,20243255
NSW_Outer Regional Australia_Central West_Blayney,NSW,Outer Regional Australia,Central West,Blayney,20241288
NSW_Outer Regional Australia_Capital Region_Hilltops,NSW,Outer Regional Australia,Capital Region,Hilltops,20241164
QLD_Inner Regional Australia_Ipswich_Lockyer Valley,QLD,Inner Regional Australia,Ipswich,Lockyer Valley,20233145
TAS_Remote Australia_West and North West_Circular Head,TAS,Remote Australia,West and North West,Circular Head,20236028
VIC_Outer Regional Australia_North West_Swan Hill,VIC,Outer Regional Australia,North West,Swan Hill,20232192
NSW_Outer Regional Australia_Riverina_Murrumbidgee,NSW,Outer Regional Australia,Riverina,Murrumbidgee,20231091
NSW_Outer Regional Australia_Capital Region_Upper Lachlan,NSW,Outer Regional Australia,Capital Region,Upper Lachlan,20231115
NSW_Inner Regional Australia_Central West_Orange,NSW,Inner Regional Australia,Central West,Orange,20231108
TAS_Inner Regional Australia_Launceston and North East_Launceston,TAS,Inner Regional Australia,Launceston and North East,Launceston,20236009
NSW_Outer Regional Australia_Central West_Cowra,NSW,Outer Regional Australia,Central West,Cowra,20231098
