crashId,dateTimeId
20243078,8_2024_18:00
20241223,8_2024_18:54
20241221,8_2024_19:30
20241143,8_2024_19:55
20243242,8_2024_20:00
20242189,8_2024_0:48
20242170,8_2024_5:38
20243043,8_2024_7:00
20241140,8_2024_8:00
20244063,8_2024_9:15
20241131,8_2024_9:30
20242172,8_2024_15:05
20241111,8_2024_15:45
20242055,8_2024_17:01
20241017,8_2024_17:40
20244067,8_2024_19:48
20246024,8_2024_0:55
20241254,8_2024_3:30
20243011,8_2024_11:00
20246011,8_2024_13:00
20242177,8_2024_14:54
20241127,8_2024_16:20
20241210,8_2024_17:15
20242132,8_2024_18:16
20242184,8_2024_19:14
20241253,8_2024_21:00
20243024,8_2024_21:00
20242224,8_2024_23:25
20243031,8_2024_0:00
20242069,8_2024_0:40
20243156,8_2024_4:00
20242251,8_2024_6:48
20244034,8_2024_8:13
20242090,8_2024_10:50
20243231,8_2024_13:00
20242194,8_2024_15:25
20243142,8_2024_12:00
20242043,8_2024_12:28
20243124,8_2024_14:00
20244007,8_2024_15:31
20242060,8_2024_15:55
20243104,8_2024_16:00
20244041,8_2024_18:25
20246026,8_2024_21:52
20243021,8_2024_2:00
20242155,8_2024_6:40
20242032,8_2024_10:23
20241285,8_2024_16:45
20244066,8_2024_19:00
20242064,8_2024_19:54
20242164,8_2024_20:40
20244035,8_2024_20:55
20243018,8_2024_9:00
20242086,8_2024_9:35
20243217,8_2024_11:00
20243251,8_2024_18:00
20243058,8_2024_19:00
20244046,8_2024_22:41
20243085,7_2024_8:00
20244039,7_2024_11:46
20243240,7_2024_12:00
20246002,7_2024_12:38
20242099,7_2024_13:30
20243063,7_2024_16:00
20241176,7_2024_16:00
20247022,7_2024_16:30
20241086,7_2024_16:40
20241224,7_2024_22:45
20241265,7_2024_8:05
20241202,7_2024_8:15
20246023,7_2024_11:28
20241293,7_2024_12:08
20241299,7_2024_13:20
20244078,7_2024_13:24
20243164,7_2024_14:00
20242201,7_2024_14:30
20241307,7_2024_19:20
20242074,7_2024_20:37
20241243,7_2024_22:00
20247034,7_2024_23:28
20241260,7_2024_0:30
20243004,7_2024_2:00
20246014,7_2024_8:30
20242024,7_2024_9:07
20243169,7_2024_14:00
20243081,7_2024_14:00
20242169,7_2024_14:43
20241110,7_2024_15:00
20241082,7_2024_19:25
20241159,7_2024_0:01
20246022,7_2024_4:07
20241229,7_2024_6:30
20242026,7_2024_9:26
20242268,7_2024_10:24
20242238,7_2024_10:41
20242122,7_2024_11:10
20241046,7_2024_13:00
20243192,7_2024_14:00
20241032,7_2024_14:30
20241031,7_2024_14:45
20243254,7_2024_17:00
20243133,7_2024_17:00
20241203,7_2024_18:20
20243118,7_2024_3:00
20243173,7_2024_4:00
20243199,7_2024_6:00
20244003,7_2024_9:55
20241298,7_2024_10:00
20242112,7_2024_11:53
20243092,7_2024_12:00
20243042,7_2024_13:00
20244005,7_2024_16:13
20243178,7_2024_17:00
20244050,7_2024_17:45
20241208,7_2024_20:30
20242259,7_2024_6:20
20242212,7_2024_7:00
20243019,7_2024_9:00
20241036,7_2024_11:45
20242226,7_2024_14:10
20247007,7_2024_14:13
20243074,7_2024_15:00
20241003,7_2024_15:30
20241277,7_2024_16:35
20241249,7_2024_17:50
20242020,7_2024_17:57
20242108,7_2024_18:59
20243120,7_2024_19:00
20242187,7_2024_19:30
20243116,7_2024_22:00
20242133,7_2024_0:00
20241092,7_2024_1:35
20242121,7_2024_6:05
20243214,7_2024_9:00
20241118,7_2024_9:30
20243157,7_2024_10:00
20241190,7_2024_10:45
20241097,7_2024_13:00
20242265,7_2024_13:59
20241250,7_2024_14:15
20242200,7_2024_16:30
20242234,7_2024_18:30
20242048,7_2024_22:22
20242003,6_2024_12:50
20243252,6_2024_14:00
20243061,6_2024_14:00
20242162,6_2024_14:39
20244071,6_2024_16:48
20241047,6_2024_17:15
20241205,6_2024_17:45
20241024,6_2024_18:20
20242096,6_2024_19:08
20242240,6_2024_21:04
20243139,6_2024_23:00
20243075,6_2024_3:00
20244051,6_2024_8:40
20241070,6_2024_9:30
20244079,6_2024_9:30
20243051,6_2024_10:00
20242237,6_2024_10:24
20243148,6_2024_11:00
20242157,6_2024_13:38
20244022,6_2024_14:51
20241142,6_2024_15:15
20241124,6_2024_15:20
20241010,6_2024_17:20
20241252,6_2024_19:10
20243155,6_2024_22:00
20243163,6_2024_0:00
20243269,6_2024_16:00
20243056,6_2024_23:00
20243049,6_2024_0:00
20243103,6_2024_3:00
20242233,6_2024_3:55
20243014,6_2024_9:00
20241198,6_2024_9:13
20242249,6_2024_10:45
20243154,6_2024_11:00
20241100,6_2024_12:09
20241074,6_2024_12:15
20243263,6_2024_13:00
20242016,6_2024_13:00
20244017,6_2024_14:02
20244009,6_2024_16:15
20242085,6_2024_16:50
20244012,6_2024_20:19
20243205,6_2024_21:00
20241035,6_2024_23:15
20241161,6_2024_8:40
20241062,6_2024_17:19
20243119,6_2024_18:00
20241155,6_2024_19:18
20243152,6_2024_21:00
20243053,6_2024_6:00
20241039,6_2024_6:00
20242154,6_2024_7:40
20243215,6_2024_8:00
20243026,6_2024_10:00
20241050,6_2024_11:29
20243271,6_2024_14:00
20241133,6_2024_15:15
20248008,6_2024_17:05
20244037,6_2024_21:20
20242143,6_2024_0:41
20241273,6_2024_3:23
20242067,6_2024_6:15
20242214,6_2024_9:00
20243238,6_2024_12:00
20242011,6_2024_13:35
20241180,6_2024_17:20
20241059,6_2024_17:25
20241021,6_2024_17:50
20242254,6_2024_21:12
20243256,6_2024_23:00
20241245,6_2024_23:00
20243126,5_2024_14:00
20244082,5_2024_14:10
20241108,5_2024_15:30
20242137,5_2024_18:10
20241005,5_2024_18:55
20241051,5_2024_20:40
20243128,5_2024_21:00
20242109,5_2024_21:45
20241116,5_2024_22:40
20243226,5_2024_12:00
20242092,5_2024_17:54
20242125,5_2024_19:30
20244077,5_2024_14:45
20242049,5_2024_16:36
20243265,5_2024_17:00
20243122,5_2024_0:00
20243151,5_2024_12:00
20241283,5_2024_14:00
20242262,5_2024_16:00
20242100,5_2024_16:22
20242211,5_2024_16:32
20241168,5_2024_19:25
20241162,5_2024_22:25
20241073,5_2024_22:38
20243097,5_2024_5:00
20242182,5_2024_8:40
20243123,5_2024_10:00
20242044,5_2024_12:34
20241120,5_2024_17:44
20242266,5_2024_19:14
20241048,5_2024_23:15
20243023,5_2024_2:00
20243137,5_2024_5:00
20241200,5_2024_6:29
20242151,5_2024_7:14
20242223,5_2024_8:15
20241259,5_2024_8:30
20241264,5_2024_10:50
20243086,5_2024_13:00
20242215,5_2024_13:24
20246012,5_2024_15:30
20244068,5_2024_16:36
20241296,5_2024_18:00
20241006,5_2024_19:57
20241258,5_2024_22:48
