personId,crashId
193,20243084
194,20241030
195,20243127
196,20243003
197,20243266
198,20241042
199,20243121
200,20241175
201,20243072
202,20244057
203,20241091
204,20243201
205,20242135
206,20243225
207,20241167
208,20244060
209,20241268
210,20244013
211,20243235
212,20243235
213,20244059
214,20244059
215,20241266
216,20243131
217,20242080
218,20241287
219,20241152
220,20243161
221,20242042
222,20243210
223,20244025
224,20243088
225,20241211
226,20241211
227,20242007
228,20241204
229,20244062
230,20241137
231,20243117
232,20242081
233,20243206
234,20248003
235,20244032
236,20241153
237,20242138
238,20243198
239,20242107
240,20243080
241,20242204
242,20242139
243,20241103
244,20242129
245,20244027
246,20243006
247,20243108
248,20243212
249,20241237
250,20241052
251,20241308
252,20246027
253,20244072
254,20241195
255,20244043
256,20241102
257,20243194
258,20243070
259,20243165
260,20241063
261,20241132
262,20241292
263,20241189
264,20241233
265,20241233
266,20241233
267,20241233
268,20242115
269,20242167
270,20241016
271,20243234
272,20246025
273,20241220
274,20241034
275,20242012
276,20243009
277,20243009
278,20241269
279,20242093
280,20242176
281,20242255
282,20241066
283,20242175
284,20243207
285,20242029
286,20241246
287,20241078
288,20243064
289,20241013
290,20241013
291,20246019
292,20242257
293,20241138
294,20244014
295,20244069
296,20242053
297,20243111
298,20243067
299,20242186
300,20242250
301,20243167
302,20243106
303,20242098
304,20241179
305,20242070
306,20243261
307,20243227
308,20242243
309,20242102
310,20241109
311,20243187
312,20241301
313,20243135
314,20241248
315,20243268
316,20242071
317,20241020
318,20241294
319,20241304
320,20242123
321,20242144
322,20241199
323,20241199
324,20243066
325,20243233
326,20243203
327,20242209
328,20242056
329,20242130
330,20243109
331,20243109
332,20243010
333,20243181
334,20246018
335,20241071
336,20241186
337,20243078
338,20241223
339,20241221
340,20241143
341,20243242
342,20242189
343,20242170
344,20243043
345,20241140
346,20244063
347,20241131
348,20242172
349,20241111
350,20242055
351,20241017
352,20244067
353,20246024
354,20241254
355,20241254
356,20243011
357,20246011
358,20242177
359,20241127
360,20241210
361,20242132
362,20242132
363,20242184
364,20241253
365,20243024
366,20242224
367,20243031
368,20242069
369,20243156
370,20242251
371,20244034
372,20242090
373,20243231
374,20243231
375,20243231
376,20242194
377,20243142
378,20242043
379,20243124
380,20244007
381,20242060
382,20243104
383,20244041
384,20246026
385,20243021
386,20242155
387,20242032
388,20241285
389,20244066
390,20242064
391,20242164
392,20244035
393,20243018
394,20242086
395,20243217
396,20243251
397,20243058
398,20244046
399,20243085
400,20244039
401,20243240
402,20246002
403,20246002
404,20242099
405,20242099
406,20243063
407,20241176
408,20247022
409,20241086
410,20241224
411,20241265
412,20241202
413,20246023
414,20241293
415,20241299
416,20244078
417,20243164
418,20242201
419,20241307
420,20242074
421,20242074
422,20241243
423,20241243
424,20247034
425,20241260
426,20243004
427,20246014
428,20246014
429,20242024
430,20243169
431,20243081
432,20243081
433,20242169
434,20241110
435,20241082
436,20241159
437,20246022
438,20241229
439,20242026
440,20242268
441,20242238
442,20242122
443,20241046
444,20241046
445,20241046
446,20243192
447,20241032
448,20241032
449,20241031
450,20243254
451,20243133
452,20241203
453,20243118
454,20243173
455,20243199
456,20244003
457,20241298
458,20242112
459,20242112
460,20243092
461,20243042
462,20244005
463,20243178
464,20244050
465,20241208
466,20242259
467,20242212
468,20243019
469,20241036
470,20242226
471,20247007
472,20243074
473,20241003
474,20241277
475,20241249
476,20242020
477,20242108
478,20243120
479,20242187
480,20243116
481,20243116
482,20242133
483,20241092
484,20242121
485,20243214
486,20241118
487,20243157
488,20241190
489,20241097
490,20242265
491,20242265
492,20241250
493,20242200
494,20242234
495,20242048
496,20242003
497,20243252
498,20243252
499,20243061
500,20242162
501,20244071
502,20241047
503,20241205
504,20241024
505,20242096
506,20242240
507,20243139
508,20243075
509,20244051
510,20241070
511,20244079
512,20243051
513,20243051
514,20243051
515,20242237
516,20243148
517,20242157
518,20244022
519,20241142
520,20241124
521,20241010
522,20241252
523,20243155
524,20243163
525,20243269
526,20243056
527,20243049
528,20243103
529,20242233
530,20243014
531,20241198
532,20242249
533,20243154
534,20243154
535,20243154
536,20241100
537,20241074
538,20243263
539,20242016
540,20244017
541,20244009
542,20242085
543,20244012
544,20243205
545,20241035
546,20241161
547,20241062
548,20243119
549,20241155
550,20243152
551,20243053
552,20241039
553,20242154
554,20242154
555,20243215
556,20243026
557,20241050
558,20243271
559,20241133
560,20248008
561,20244037
562,20242143
