crashId,crashType,numberFatalities,busInvolvement,heavyRigidTruckInvolvement,articulatedTruckInvolvement,speedLimit,nationalRoadType
20243004,Single,1,No,No,No,80,National or State Highway
20246014,Multiple,2,No,No,No,80,Access road
20242024,Single,1,No,No,Yes,60,Collector Road
20243169,Single,1,No,No,No,70,Sub-arterial Road
20243081,Multiple,2,No,No,No,100,National or State Highway
20242169,Single,1,No,No,No,100,Arterial Road
20241110,Single,1,No,No,No,50,Local Road
20241082,Single,1,No,No,No,60,Arterial Road
20241159,Single,1,No,No,No,100,Sub-arterial Road
20246022,Single,1,No,No,No,50,Sub-arterial Road
20241229,Single,1,No,No,No,80,Sub-arterial Road
20242026,Single,1,No,No,No,60,Sub-arterial Road
20242268,Single,1,No,Yes,No,80,Local Road
20242238,Single,1,No,No,No,50,Local Road
20242122,Single,1,No,No,No,60,Arterial Road
20241046,Multiple,3,No,No,No,100,Arterial Road
20243192,Single,1,No,No,No,100,Sub-arterial Road
20241032,Multiple,2,No,No,No,80,Local Road
20241031,Single,1,No,No,No,80,National or State Highway
20243254,Single,1,No,No,No,60,Sub-arterial Road
20243133,Single,1,No,No,No,100,Local Road
20241203,Single,1,No,No,No,100,Sub-arterial Road
20243118,Single,1,No,No,No,60,Sub-arterial Road
20243173,Single,1,No,No,No,80,Local Road
20243199,Single,1,No,No,No,40,Collector Road
20244003,Single,1,No,No,No,60,Collector Road
20241298,Single,1,No,No,Yes,50,Arterial Road
20242112,Multiple,2,No,No,No,100,Arterial Road
20243092,Single,1,No,Yes,No,100,National or State Highway
20243042,Single,1,No,No,No,60,Local Road
20244005,Single,1,No,No,No,100,Local Road
20243178,Single,1,No,No,No,60,Local Road
20244050,Single,1,No,No,No,50,Collector Road
20241208,Single,1,No,No,Yes,100,Arterial Road
20242259,Single,1,No,No,Yes,100,Arterial Road
20242212,Single,1,No,No,No,50,Collector Road
20243019,Single,1,No,No,No,60,Collector Road
20241036,Single,1,No,No,No,90,National or State Highway
20242226,Single,1,No,No,No,50,Local Road
20247007,Single,1,No,No,No,110,Sub-arterial Road
20243074,Single,1,Yes,No,No,60,Collector Road
20241003,Single,1,No,No,No,100,Local Road
20241277,Single,1,No,No,No,100,Sub-arterial Road
20241249,Single,1,No,No,No,50,Local Road
20242020,Single,1,No,No,No,60,Arterial Road
20242108,Single,1,No,No,No,60,Arterial Road
20243120,Single,1,No,No,Yes,60,National or State Highway
20242187,Single,1,No,No,No,100,National or State Highway
20243116,Multiple,2,No,No,Yes,100,National or State Highway
20242133,Single,1,No,No,No,60,Sub-arterial Road
20241092,Single,1,No,No,No,60,National or State Highway
20242121,Single,1,No,No,No,60,Arterial Road
20243214,Single,1,No,No,Yes,100,National or State Highway
20241118,Single,1,No,No,No,100,Sub-arterial Road
20243157,Single,1,No,No,No,70,Sub-arterial Road
20241190,Single,1,No,No,Yes,80,Arterial Road
20241097,Single,1,No,No,No,100,Arterial Road
20242265,Multiple,2,No,No,No,100,Arterial Road
20241250,Single,1,No,No,No,70,Arterial Road
20242200,Single,1,No,Yes,No,100,Sub-arterial Road
20242234,Single,1,No,No,No,100,Local Road
20242048,Single,1,No,No,No,70,Arterial Road
20242003,Single,1,No,No,No,80,Local Road
20243252,Multiple,2,No,No,No,80,Collector Road
20243061,Single,1,No,No,No,100,Collector Road
20242162,Single,1,No,No,No,80,National or State Highway
20244071,Single,1,No,No,No,80,National or State Highway
20241047,Single,1,No,No,No,50,Collector Road
20241205,Single,1,No,No,No,60,Arterial Road
20241024,Single,1,No,No,No,60,Arterial Road
20242096,Single,1,No,No,No,80,National or State Highway
20242240,Single,1,No,No,No,60,National or State Highway
20243139,Single,1,Yes,No,No,40,Collector Road
20243075,Single,1,No,No,No,70,Collector Road
20244051,Single,1,No,No,No,60,Sub-arterial Road
20241070,Single,1,No,No,No,100,Arterial Road
20244079,Single,1,No,No,No,50,Local Road
20243051,Multiple,3,No,No,No,100,Sub-arterial Road
20242237,Single,1,No,No,No,80,Collector Road
20243148,Single,1,No,No,No,100,National or State Highway
20242157,Single,1,No,No,No,60,Sub-arterial Road
20244022,Single,1,No,No,No,80,National or State Highway
20241142,Single,1,No,No,No,80,Arterial Road
20241124,Single,1,No,No,No,100,National or State Highway
20241010,Single,1,No,Yes,Yes,110,National or State Highway
20241252,Single,1,No,No,No,80,Sub-arterial Road
20243155,Single,1,No,No,No,60,Local Road
20243163,Single,1,No,No,No,100,National or State Highway
20243269,Single,1,No,No,No,80,Sub-arterial Road
20243056,Single,1,No,No,No,60,Collector Road
20243049,Single,1,No,No,No,40,Local Road
20243103,Single,1,No,No,No,10,Pedestrian Thoroughfare
20242233,Single,1,No,No,No,50,Local Road
20243014,Single,1,No,No,No,100,Local Road
20241198,Single,1,No,No,No,70,Arterial Road
20242249,Single,1,No,No,No,70,Arterial Road
20243154,Multiple,3,Yes,No,No,100,National or State Highway
20241100,Single,1,No,No,No,50,Collector Road
20241074,Single,1,No,No,No,80,Arterial Road
20243263,Single,1,No,No,Yes,100,National or State Highway
20242016,Single,1,No,No,No,70,National or State Highway
20244017,Single,1,No,No,No,90,Sub-arterial Road
20244009,Single,1,No,No,No,50,Collector Road
20242085,Single,1,No,No,No,60,Sub-arterial Road
20244012,Single,1,No,No,No,110,National or State Highway
20243205,Single,1,No,No,No,80,Local Road
20241035,Single,1,No,No,No,50,Access road
20241161,Single,1,No,No,No,60,Collector Road
20241062,Single,1,No,No,No,80,National or State Highway
20243119,Single,1,No,No,No,70,Sub-arterial Road
20241155,Single,1,No,No,No,60,National or State Highway
20243152,Single,1,No,No,No,80,Sub-arterial Road
20243053,Single,1,No,No,Yes,60,Sub-arterial Road
20241039,Single,1,No,No,No,80,Arterial Road
20242154,Multiple,2,No,No,No,110,National or State Highway
20243215,Single,1,No,No,No,80,National or State Highway
20243026,Single,1,No,No,No,60,Sub-arterial Road
20241050,Single,1,No,Yes,No,80,National or State Highway
20243271,Single,1,No,No,Yes,100,National or State Highway
20241133,Single,1,No,No,No,100,National or State Highway
20248008,Single,1,No,Yes,No,60,Collector Road
20244037,Single,1,No,No,No,50,Local Road
20242143,Single,1,No,No,No,40,Arterial Road
20241273,Single,1,No,No,No,50,Local Road
20242067,Single,1,No,No,No,100,National or State Highway
20242214,Single,1,No,No,No,80,Arterial Road
20243238,Single,1,No,No,No,100,National or State Highway
20242011,Single,1,No,No,No,60,Local Road
20241180,Single,1,No,No,No,50,Collector Road
20241059,Single,1,No,No,No,50,Local Road
20241021,Single,1,No,No,No,60,Collector Road
20242254,Single,1,No,No,No,80,National or State Highway
20243256,Single,1,No,Yes,No,50,Collector Road
20241245,Single,1,No,No,No,80,Sub-arterial Road
20243126,Single,1,No,No,No,80,Sub-arterial Road
20244082,Multiple,2,No,No,No,100,Sub-arterial Road
20241108,Single,1,No,No,No,60,Arterial Road
20242137,Single,1,No,No,No,70,Local Road
20241005,Single,1,No,No,No,60,Arterial Road
20241051,Single,1,No,No,No,100,Sub-arterial Road
20243128,Single,1,No,No,No,80,Sub-arterial Road
20242109,Single,1,No,No,No,60,Arterial Road
